"abbr";"layer";"taxon";186;191;487;975;968;970;976;488;12;845;79;14;183;85;90;489;89;974;507;583;54;756;548;28;684;484;748;597;612;82;47;759;60;57;53;37;36;55;48;95;783;735;731;732;734;105;"AN";108;"AP";111;112;106;109;838;667;490;614;659;660;722;695;828;611;683;654;670;630;492;898;"C15";"C14";"C19";994;482;483;900;104;625;626;717;579;594;448;899;568;569;570;866;592;601;578;534;565;577;533;978;125;903;702;449;656;114;602;644;527;651;526;122;703;1029;"C21";"C18";"C24";"C13";"C20";652;653;101;127;97;478;926;1031;121;120
"care poly";"hl";"Carex leersiana";;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;;
"care mont";"hl";"Carex montana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care pall";"hl";"Carex pallescens";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care pilo";"hl";"Carex pilosa";"+";;;;;"+";"+";;;;"+";;;;;2;;;;;;;;;;;;;;;"+";;;;"r";"r";"+";"+";1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care sylv";"hl";"Carex sylvatica";;;;;;;"+";1;;;"+";;;;;"r";;"+";"r";;;;;"+";;;;"+";;"+";;;1;"r";"+";;;1;;;;;;;;;"+";;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;1;;;;"r";;"+";;;1;"+";"+";"+";;;;1;;"+";"+";;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;
"carp cern";"hl";"Carpesium cernuum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"carp betu";"tl";"Carpinus betulus B";;;"+";"+";;;1;;"+";1;"r";"+";;1;3;"+";;;"r";;;;;1;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;1;"+";;1;;;;1;2;;"+";;"+";1;"+";1;3;1;;1;2;;"+";"r";1;1;;;1;;"+";;2;;;1;1;1;;1;;;3;2;;;2;;2;;2;2;1;;"+";;
"carp betu";"hl";"Carpinus betulus K";;;"r";;;;;"r";"+";;;;;;;"+";;;"r";;;;;;;;"+";;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;"+";"+";"+";;;;;;;"+";;;;;;;;"+";"r";;"+";"+";"+";"+";"r";;;;"r";;;"+";"+";;;;;"+";;"+";;
"carp betu";"sl";"Carpinus betulus S";;;;;;;;;;;;;;;;;;;"r";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;"r";;;;;;;;;;;;;"+";"+";;;;;;;"+";;"r";;;;"r";;"+";;;;;;;;;;;;;;;"+";;;;;"+";1;"+";;
"ceph dama";"hl";"Cephalanthera damasonium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ceph long";"hl";"Cephalanthera longifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chae hirs";"hl";"Chaerophyllum hirsutum";;"+";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;3;"+";;"+";"+";"+";"r";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chel maju";"hl";"Chelidonium majus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"r";;;;;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"chry alte";"hl";"Chrysosplenium alternifolium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"circ alpi";"hl";"Circaea alpina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"circ lute lute";"hl";"Circaea lutetiana";"+";;;"+";;;"+";"+";;;1;"+";;;;"+";;;"+";"+";;"+";"+";;;;;"+";;"r";1;;;"+";"+";1;2;"+";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;;;"+";;;;;;;;;;;;"+";;;;;"r";;;;;;;"r";;;;;"r";;;;;;;;;"r";;;1;"+"
"circ inte";"hl";"Circaea X intermedia";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;
"cirs eris";"hl";"Cirsium erisithales";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;"+";"+";"+";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cirs oler";"hl";"Cirsium oleraceum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;"r";"r";;;;;;;;;;1;;"+";;;;"+";;;;;;"r";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"clem rect";"hl";"Clematis recta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"clem vita";"hl";"Clematis vitalba";;"+";"+";;;;;;;;"+";;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"r";;;"+";;"+";1;;"+";"+";"+";"+";"r";1;"+";;"r";;"+";"+";;1;"+";1;;1;"+";1;;;;;;"+";;1;;;;;"+";"+";;"+";;;"+";;"+";;"+";"+";"+";"+";;;1;"+";;;;"+";"+";"+";;;;;;;;;;
"clin vulg vulg";"hl";"Clinopodium vulgare";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"colc autu";"hl";"Colchicum autumnale";;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"conv maja maja";"hl";"Convallaria majalis";;;"r";;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;"r";;;;"+";;;;;;;;;;;;;;;;;;;"+";;"+";;;;"+";;"+";"+";;;;;;"+";"+";;;;;"+";"+";"+";;;;;;;;1;;;;"+";;;;;;;;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;
"corn mas";"hl";"Cornus mas";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"corn sang slat";"hl";"Cornus sanguinea";;"+";"r";;"+";;;"r";;;;;"+";;"r";;;"+";;;"+";;"+";"+";;;;;;"+";"r";;"+";;;;"r";"r";;;;;;;;;;;;;;;;;"+";;;;"r";"+";;;"r";;1;"+";1;;"+";;;;"+";;"r";;;"r";;"+";;;;;;"+";1;;;;;"+";;;"+";"r";;1;;;;"r";;;;;;;1;;;;"r";"+";;;;;;;;;;;
"hipp emer emer";"hl";"Coronilla emerus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;1;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cory cava";"hl";"Corydalis cava";;1;;;;;;;;;;;;;;;;;;"+";"r";;;;;1;;;;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cory avel";"hl";"Corylus avellana";;1;2;;"+";1;;"+";;1;1;"+";"+";"+";"+";"+";2;;1;"+";"+";;;1;3;;1;1;3;1;1;;;;"+";1;"+";"+";"r";"+";;;;;;"+";;"+";"+";;;"+";2;1;1;1;"+";2;2;2;"+";2;1;2;"r";2;2;"+";1;2;4;2;2;2;2;1;;"+";;2;"r";;;;;;;1;;"+";;1;"+";;"+";2;;2;"+";"r";1;1;"+";"+";3;1;2;3;"+";1;"+";"r";4;2;1;1;1;;;"+";"+";1;3;1;
"coto tome";"hl";"Cotoneaster tomentosus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"crat laev aggr";"hl";"Crataegus laevigata agg.";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"crat mono";"hl";"Crataegus monogyna";;;;;;;;;;;"r";;;;"r";;;"+";;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;1;"+";;"r";;;;;;"+";;;;;;;;"+";"+";;"r";;;"+";;;;;;;;;"r";"r";;;"+";;;;;;;"r";;;;;;;;;;;;;
"crep palu";"hl";"Crepis paludosa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";"+";"r";;"+";1;"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cruc laev";"hl";"Cruciata laevipes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cyan mont";"hl";"Cyanus montanus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;1;;"r";;"+";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;
"cycl purp";"hl";"Cyclamen purpurascens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;"+";;"+";;"r";"+";;"+";;;"r";"+";1;1;"+";"+";"r";;;;;"+";;;;;;;;;;"+";;;;;;;;"+";"+";;;"+";"+";"+";;;;;"+";"+";1;1;"+";"+";1;"+";;;;;;;;;
"cyst frag";"hl";"Cystopteris fragilis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"dact glom glom";"hl";"Dactylis glomerata";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;
"dact poly";"hl";"Dactylis polygama";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;
"dact macu slat";"hl";"Dactylorhiza maculata s.l.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;"r";"+";"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"daph meze";"hl";"Daphne mezereum";;;;;;;;"+";;;;;;;;"r";;;;;;;;;;;;;"+";"r";;;;;"r";;;;;;;;;;;;;"r";;"r";"+";"+";"+";"+";"+";;;"+";;;"+";"+";"r";;;;;"r";;;"+";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;"r";;;"r";;;;"r";;;;;;;"r";"+";;"r";;
"desc cesp";"hl";"Deschampsia cespitosa";"r";;;;;;;;"r";;"+";;"r";;;;;;"r";;;;"r";"+";;;;;;;"+";"+";"+";;"+";"+";"r";;"+";;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"digi gran";"hl";"Digitalis grandiflora";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;
"doro aust";"hl";"Doronicum austriacum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"dryo affi aggr";"hl";"Dryopteris affinis s.l.";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"dryo cart";"hl";"Dryopteris carthusiana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;
"dryo dila";"hl";"Dryopteris dilatata";;;;;;;;;"+";"+";;"+";;;;;;;;;;;;;;;;;;"r";;"+";;;;;;;;"+";1;"+";;"+";"+";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"r";;"+";;;;;;;;;;;"r";;;;;;;;"+";"+";"r";"+";;;;
"dryo expa";"hl";"Dryopteris expansa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"dryo fili";"hl";"Dryopteris filix-mas";"r";"+";;;;;"r";"+";;;;;;;;;;"r";;"+";;"r";;;;"+";"+";;"+";"+";"r";;;"+";;;"r";;;"+";;;;;;"r";"+";;"+";;"+";;;;;;;;;;;;"+";"+";"+";"+";;;;;;"+";;;;;;"r";;"+";;;"+";;;"+";;;;"+";1;;"+";"+";;;1;"r";;"r";"+";"+";"+";;"+";1;"+";"r";;"+";"r";;"r";;"+";1;1;2;"+";1;"+";"+";"+";"+";"+"
"epil cili cili";"hl";"Epilobium ciliatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"epip atro";"hl";"Epipactis atrorubens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"epip spec ies";"hl";"Epipactis sp.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"equi arve";"hl";"Equisetum arvense";;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"equi sylv";"hl";"Equisetum sylvaticum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"equi telm";"hl";"Equisetum telmateia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"equi vari";"hl";"Equisetum variegatum";;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"eric carn";"hl";"Erica carnea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;1;"+";"+";"+";"r";"+";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"euon euro";"hl";"Euonymus europaea";;;;;;;;;;;"+";"r";"+";;"r";;"r";;"+";;"r";"r";"r";;;;;;;;;;"+";;"r";;;"r";"r";;;;;;;;;;;;;;;;;;;1;;;;;"+";;;;;;"+";1;;;;"r";"r";;"+";"r";;;;"r";;;;"r";"r";;;;;;;;"r";;;;"+";;"r";"+";;;"r";;"r";;;;;;;"+";;;;;;;;;;;
"euon lati";"hl";"Euonymus latifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;"+";;;"+";;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;2;;;;;;;;;;
"eupa cann";"hl";"Eupatorium cannabinum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;;"+";;;"+";;;"r";"+";;;"r";"+";"+";"r";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"euph amyg amyg";"hl";"Euphorbia amygdaloides";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;"r";;;;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;
"euph aust";"hl";"Euphorbia austriaca";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;"r";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"euph cypa";"hl";"Euphorbia cyparissias";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"euph dulc dulc";"hl";"Euphorbia dulcis";;;;;;;;;"+";;;"+";;"r";;;;;"r";;"+";;;;"r";;"+";;;;;"+";;;;;;;"+";"+";;;;;;;;;;;;;;;;;"+";;"+";;;"+";"+";;;"r";;;;"+";"+";;;;;;;;;;;"+";;"+";;;;;;;;;;;;;;"+";;;;"r";;"+";;;;"+";;;;;;;;;;;;;"+";;"+";;
"fagu sylv";"tl";"Fagus sylvatica B";1;;1;;;;;;"+";1;;;"+";;;;;;;;;;;1;"+";2;1;"+";1;;;1;;;;;;;;"+";1;;;;;;;;2;1;;;;2;1;1;;;;;;;"r";;;;;2;2;1;2;3;;;;1;1;;;1;;;;2;;;;;;2;;;1;;;;;;;2;2;1;2;"+";;"r";"+";1;"+";;2;;2;;2;;;;1;;;;;;4
"fagu sylv";"hl";"Fagus sylvatica K";;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;"+";;"+";;;;;;;;;;;"+";"+";;;;;;;;;;"+";;;"+";;;;;;;;"r";"+";;;"+";"+";"+";"+";;;"+";"+";;;"+";;;;"+";;;;"+";"+";;;;;;;;"+";;;;;;;;"+";"+";"+";"+";;;;1;;;"+";"+";"+";;"+";;;;;;;;"r";;"+"
"fagu sylv";"sl";"Fagus sylvatica S";;;;;;;;;;;;;;;"+";;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;"r";1;;;"+";;"+";;;;;;;"+";"+";;"+";"+";;;;;;"+";;;;;;;"+";"r";;;;;;;;;"+";;;;;;"+";;;"r";"+";;;;;;;;"r";"r";"+";;;;;;;"r";"+";;"+";"+";"+"
"fall dume";"hl";"Fallopia dumetorum";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fest alti";"hl";"Festuca altissima";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fest arun slat";"hl";"Festuca arundinacea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fest giga";"hl";"Festuca gigantea";;;;;;;;;;;;;"r";;;;;;;;;"r";;;;;;;;;"r";;"r";;"+";;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fest hete ylla";"hl";"Festuca heterophylla";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fili ulma";"hl";"Filipendula ulmaria";;;;;;;;;;;;"+";;;;;;;"+";;"r";;;"+";;;;;;;;;"+";;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"frag vesc";"hl";"Fragaria vesca";;;;;;;;"r";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;"+";"+";"+";;"+";;;1;;;;;;;"+";"r";"+";;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;
"fran alnu";"sl";"Frangula alnus S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;"+";2;"+";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"frax exce";"tl";"Fraxinus excelsior B";2;3;2;3;4;1;2;4;3;2;3;2;3;3;"+";3;2;4;5;4;3;4;3;2;3;2;3;3;3;3;1;3;4;4;4;4;3;3;4;2;;;;;;3;;3;3;;2;3;;1;2;2;1;;2;;2;2;;4;2;2;3;2;;3;3;3;;3;4;3;4;3;3;3;3;2;2;;4;4;4;2;2;3;4;2;2;2;3;2;;3;2;2;3;3;3;2;2;2;2;2;"+";;2;5;2;3;3;3;2;3;;3;2;2;1;2;
"frax exce";"hl";"Fraxinus excelsior K";"+";;"+";"+";;"+";"+";;;"+";"+";;"+";"+";1;"+";"+";;"+";"+";"+";"+";;;;;;"+";1;"+";;1;;;"r";"+";;"r";;"+";;;;;;2;;2;;"+";"+";1;"+";;1;;;;"+";"r";"+";"+";;;"+";"+";"+";;"+";"+";1;"+";"+";"+";;;1;"+";"+";"+";"+";"+";;"+";;"+";"+";"+";1;;;"+";1;;"+";;;;;;"+";1;"+";"+";"+";;"+";1;;;"+";;"+";;"+";"+";"+";;;;;;1;"+";"+"
"frax exce";"sl";"Fraxinus excelsior S";;;"+";;;;;"+";;;;;1;;"+";"+";"+";;"+";;;;;;;;;;;"+";;;;;;"+";;;;;;;;;;"+";;1;;3;;"+";"+";;"+";;;;;;1;1;2;;2;2;"+";;"+";;;;"+";;;;;;;"+";;;;;;"+";"+";"+";;;;"+";"+";;;;;;;;;;;;;;"+";"+";;;;"+";;"+";"+";;;"+";;;"+";"+";;"+";"+"
"gale mont";"hl";"Galeobdolon montanum";"+";"+";"+";1;;1;1;"+";1;1;1;"+";1;1;"+";"+";"+";"+";1;"+";1;1;;1;;"+";1;;"+";2;1;"+";;"r";1;1;"+";"+";1;1;;"+";"+";;"+";"+";"+";"+";1;"r";;;;;"+";;;;;;;"+";;"+";"+";;1;"+";;"+";"+";;;"+";1;;1;"+";;"+";1;"+";1;;"r";;;"+";1;;1;1;"+";2;2;"+";1;"+";"+";"+";1;1;"+";"+";"+";1;3;"r";;"+";"r";1;"+";3;;2;1;"+";"+";1;"+";1;1;1;1
