taxon;matched.taxon;abbr
Brachypodium sylvaticum;Brachypodium sylvaticum;brac sylv
Campanula trachelium;Campanula trachelium;camp trac
Carex michelii;Carex michelii;care mich
Cornus sanguinea;Cornus sanguinea s.lat.;corn sang slat
Crataegus laevigata;Crataegus laevigata ssp. laevigata;crat laev laev
Crataegus monogyna;Crataegus monogyna;crat mono
Crataegus monogyna;Crataegus monogyna;crat mono
Fragaria moschata;Fragaria moschata;frag mosc
Ligustrum vulgare;Ligustrum vulgare;ligu vulg
Prunus avium;Prunus avium s.lat.;prun aviu slat
Prunus domestica;Prunus domestica s.lat.;prun dome slat
Pulmonaria mollis;Pulmonaria mollis s.lat.;pulm moll slat
Berteroa incana;Berteroa incana;bert inca
Carex muricata agg.;Carex muricata agg.;care muri aggr
Consolida regalis;Consolida regalis ssp. regalis;cons rega rega
Cornus mas;Cornus mas;corn mas
Pyrus pyraster;Pyrus pyraster;pyru pyra
Rhamnus cathartica;Rhamnus cathartica;rham cath
Rosa dumalis s.lat.;Rosa vosagiaca agg.;rosa vosa aggr
Acer campestre;Acer campestre;acer camp
Achillea nobilis;Achillea nobilis (s.lat.);achi nobi slat
Euonymus verrucosus;Euonymus verrucosus;euon verr
Euonymus verrucosus;Euonymus verrucosus;euon verr
Porella platyphylla;Porella platyphylla;pore plat
Sorbus torminalis;Sorbus torminalis;sorb torm
Calamagrostis epigejos;Calamagrostis epigejos;cala epig
Quercus robur;Quercus robur;quer robu
Campanula rotundifolia;Campanula rotundifolia s.str.;camp rotu
Quercus robur;Quercus robur;quer robu
Campanula rapunculoides;Campanula rapunculoides ssp. rapunculoides;camp rapu rapu
Rhamnus cathartica;Rhamnus cathartica;rham cath
Myosotis sparsiflora;Myosotis sparsiflora;myos spar
Alnus glutinosa;Alnus glutinosa;alnu glut
Alnus glutinosa;Alnus glutinosa;alnu glut
Myosotis scorpioides;Myosotis scorpioides ssp. scorpioides;myos scor scor
Rubus fruticosus agg.;Rubus fruticosus agg.;rubu frut aggr
Stachys sylvatica;Stachys sylvatica;stac sylv
Valeriana dioica;Valeriana dioica;vale dioi dioi
Brachythecium salebrosum;Brachythecium capillaceum;brac capi
Epilobium roseum;Epilobium roseum;epil rose
Humulus lupulus;Humulus lupulus;humu lupu
Humulus lupulus;Humulus lupulus;humu lupu
Ribes rubrum;Ribes rubrum;ribe rubr
Salix fragilis;Salix fragilis (s.str.);sali frag
Acer negundo;Acer negundo;acer negu
Acer negundo;Acer negundo;acer negu
Chaerophyllum bulbosum;Chaerophyllum bulbosum;chae bulb
Pulmonaria officinalis agg.;Pulmonaria officinalis agg.;pulm offi aggr
Salix alba;Salix alba;sali alba
Acer platanoides;Acer platanoides;acer plat
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Asarum europaeum;Asarum europaeum;asar euro slat
Athyrium filix-femina;Athyrium filix-femina;athy fili
Atrichum undulatum;Atrichum undulatum;atri undu
Bromus benekenii;Bromus benekenii;brom bene
Carpinus betulus;Carpinus betulus;carp betu
Galeobdolon montanum;Galeobdolon montanum;gale mont
Hedera helix;Hedera helix;hede heli
Lapsana communis;Lapsana communis s.lat.;laps comm slat
Melica uniflora;Melica uniflora;meli unif
Milium effusum;Milium effusum ssp. effusum;mili effu effu
Ranunculus lanuginosus;Ranunculus lanuginosus;ranu lanu
Ulmus glabra;Ulmus glabra;ulmu glab
Viburnum opulus;Viburnum opulus;vibu opul
Viola riviniana;Viola riviniana;viol rivi
Acer campestre;Acer campestre;acer camp
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Euonymus europaeus;Euonymus europaeus;euon euro
Fraxinus excelsior;Fraxinus excelsior;frax exce
Knautia drymeia;Knautia drymeia;knau drym
Polygonatum multiflorum;Polygonatum multiflorum;poly mult
Tilia cordata;Tilia cordata;tili cord
Ulmus glabra;Ulmus glabra;ulmu glab
Acer platanoides;Acer platanoides;acer plat
Brachythecium rivulare;Brachythecium rivulare;brac rivu
Rubus caesius;Rubus caesius;rubu caes
Salix fragilis;Salix fragilis (s.str.);sali frag
Cirriphyllum piliferum;Cirriphyllum piliferum;cirr pili
Chaerophyllum aromaticum;Chaerophyllum aromaticum;chae arom
Cirsium oleraceum;Cirsium oleraceum;cirs oler
Populus x canadensis (P. deltoides x nigra);Populus × canadensis s.lat.;popu cana
Ulmus glabra;Ulmus glabra;ulmu glab
Anemone nemorosa;Anemone nemorosa;anem nemo
Ribes uva-crispa;Ribes uva-crispa s.lat.;ribe uvac slat
Sambucus nigra;Sambucus nigra;samb nigr
Tilia cordata;Tilia cordata;tili cord
Brachythecium velutinum;Brachytheciastrum velutinum;brac velu
Carex montana;Carex montana;care mont
Convallaria majalis;Convallaria majalis ssp. majalis;conv maja maja
Hepatica nobilis;Hepatica nobilis;hepa nobi
Lonicera xylosteum;Lonicera xylosteum;loni xylo
Ranunculus polyanthemos;Ranunculus polyanthemos s.str.;ranu poly emos
Carex pediformis;Carex pediformis;care pedi
Carex pilosa;Carex pilosa;care pilo
Cyclamen purpurascens;Cyclamen purpurascens;cycl purp
Plagiomnium undulatum;Plagiomnium undulatum;plag nium undu
Lathyrus vernus;Lathyrus vernus;lath vern
Chaerophyllum temulum;Chaerophyllum temulum;chae temu
Fraxinus excelsior;Fraxinus excelsior;frax exce
Lonicera caprifolium;Lonicera caprifolium;loni capr
Silene nutans ssp. nutans;Silene nutans ssp. nutans;sile nuta nuta
Sorbus torminalis;Sorbus torminalis;sorb torm
Dicranella heteromalla;Dicranella heteromalla;dicr hete
Euphorbia dulcis;Euphorbia dulcis;euph dulc
Galium sylvaticum;Galium sylvaticum s.str.;gali sylv
Maianthemum bifolium;Maianthemum bifolium;maia bifo
Carpinus betulus;Carpinus betulus;carp betu
Lathyrus niger;Lathyrus niger;lath nige
Actaea spicata;Actaea spicata;acta spic
Plagiomnium cuspidatum;Plagiomnium cuspidatum;plag cusp
Mercurialis perennis;Mercurialis perennis s.str.;merc pere
Picea abies;Picea abies;pice abie
Plagiothecium cavifolium;Plagiothecium cavifolium;plag cavi
Polygala vulgaris;Polygala vulgaris s.lat.;poly vulg slat
Rhizomnium punctatum;Rhizomnium punctatum;rhiz punc
Rosa pendulina;Rosa pendulina;rosa pend
Senecio germanicus;Senecio nemorensis s.lat.;sene nemo slat
Cotoneaster integerrimus;Cotoneaster integerrimus;coto inte
Lonicera xylosteum;Lonicera xylosteum;loni xylo
Tilia platyphyllos;Tilia platyphyllos;tili plat
Avenella flexuosa;Avenella flexuosa;aven flex flex
Cladonia digitata;Cladonia digitata;clad digi
Fagus sylvatica;Fagus sylvatica;fagu sylv
Fagus sylvatica;Fagus sylvatica;fagu sylv
Fagus sylvatica;Fagus sylvatica;fagu sylv
Fallopia dumetorum;Fallopia dumetorum;fall dume
Moehringia trinervia;Moehringia trinervia;moeh trin
Picea abies;Picea abies;pice abie
Senecio sylvaticus;Senecio sylvaticus;sene sylv
Abies alba;Abies alba;abie alba
Inula hirta;Inula hirta;inul hirt
Peucedanum cervaria;Cervaria rivini;cerv rivi
Rosa species;Rosa sp.;rosa spec ies
Sorbus aria;Sorbus aria s.str.;sorb aria
Sorbus torminalis;Sorbus torminalis;sorb torm
Tilia platyphyllos;Tilia platyphyllos;tili plat
Melampyrum nemorosum;Melampyrum nemorosum s.str.;mela nemo
Melittis melissophyllum;Melittis melissophyllum;meli meli
Solorina saccata;Solorina saccata;solo sacc
Carlina biebersteinii ssp. brevibracteata;Carlina biebersteinii ssp. brevibracteata;carl bieb brev
Anomodon attenuatus;Anomodon attenuatus;anom atte
Eurhynchium crassinervium;Cirriphyllum crassinervium;cirr cras
Peltigera praetextata;Peltigera praetextata;pelt prae
Sorbus aria;Sorbus aria s.str.;sorb aria
Veronica officinalis;Veronica officinalis;vero offi
Melampyrum pratense;Melampyrum pratense;mela prat
Betula pendula;Betula pendula;betu pend
Sorbus aria;Sorbus aria s.str.;sorb aria
Umbilicaria hirsuta;Umbilicaria hirsuta;umbi hirs
Prunus fruticosa;Prunus fruticosa;prun frut
Rosa pimpinellifolia;Rosa spinosissima;rosa spin
Centaurea stoebe s.lat.;Centaurea stoebe s.lat.;cent stoe slat
Salix triandra;Salix triandra s.lat.;sali tria slat
Salix cinerea;Salix cinerea s.str.;sali cine
Eurhynchium angustirete;Eurhynchium angustirete;eurh angu
Galium odoratum;Galium odoratum;gali odor
Galium sylvaticum agg.;Galium sylvaticum agg.;gali sylv aggr
Orthodicranum montanum;Dicranum montanum;dicr mont
Prenanthes purpurea;Prenanthes purpurea;pren purp
Sorbus aucuparia ssp. aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Galium album s.str.;Galium album s.str.;gali albu
Leucodon sciuroides;Leucodon sciuroides;leuc sciu
