"abbr";"layer";"comment";13;95;102;91;65;4;111;78;109;75;110;47;34;92;28;114;35;76;115;71;101;100;103;104;106;21;107;18;9;41;105;67;68;6;99;43;79;112;20;1;8;22;27;29;66;70;17;46;77;48;51;69;82;14;7;12;52;24;26;30;80;25;58;84;85;81;83;57;73;15;87;93;94;5;19;49;108;53;61;23;33;64;96;74;31;113;56;2;62;90;89;32;36;55;42;10;59;50;40;86;37;60;54;3;88;38;44;39;45;63;97;98;72;16
"aden alpi";"hl";"Adenostyles alpina";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";"+";;"r";"+";"+";;;;1;1;1;"2a";"+";"2a";1;"2a";1;"2a";"+";"+";"+";1;"+";"2a";"2a";;1;"2b";1;"2a";1;"+";;;"+";"+";1;"2a";1;"+";1;"+";;"+";1;;"+";"+";;;1;"2a";"+";"+";"+";;1;"+";"r";"+";1;1;"2a";"r";1;"r";;"+";1;"+";1;"+"
"vale trip";"hl";"Valeriana tripteris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";1;1;;;;;"+";1;"+";1;1;"+";1;1;"+";"+";"+";"+";1;"+";"+";"+";"+";1;1;"+";1;1;1;;"+";"2a";;1;"+";1;;;"+";1;;"+";1;;"+";"+";;;1;1;1;;;"2a";1;"+";;1;"2a";"2a";1;;"+";;;"+";;"+";1;
"cten moll moll";"ml";"Ctenidium molluscum";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;"+";"2a";"+";"+";;"2b";1;;"+";1;;;;;;;;;;;"+";;;;;"+";;;;;;;;;"+";1;;"+";;;;;;;;;1;;;;;1;1;;;;;;1;;"+";
"daph meze";"hl";"Daphne mezereum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"r";;;;"r";;"+";;;;"+";;;1;;;1;;;"r";"+";"+";1;;;;;;;;;;;;;1;;;;;;"+";;;;;;;1;"r";;;"+";;;;;;;;;"r";;
"vacc myrt";"hl";"Vaccinium myrtillus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"2a";"+";"+";;;;;"+";;;"+";;"+";"+";;;;"+";;;;;;;;;;;;"r";;;;;"r";;"+";;;;"+";;;;;"+";;;;;;;;;;"2m"
"gymn robe";"hl";"Gymnocarpium robertianum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"+";1;"+";;1;"+";;"+";;;;;;;;;;;;"+";"+";;;;;;;;;"+";;1;;"+";"2a";;1;;;;;;;;1;;;;;;;;;;;;;;;;;
"rhod hirs";"hl";"Rhododendron hirsutum";"r";;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";3;1;"2b";"2a";"2a";1;1;"2a";"2b";"2a";3;3;4;"2b";;3;"2b";1;"2a";4;1;;"2a";3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"loni alpi";"hl";"Lonicera alpigena";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;1;"2a";1;1;1;;;"2a";"2a";1;"2a";;;;;;;"r";;;;;"r";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;
"rhyt triq";"ml";"Rhytidiadelphus triquetrus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";1;1;;;"2a";;1;;"+";;1;;1;;1;1;;;1;1;"+";;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"plag nium undu";"ml";"Plagiomnium undulatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;;;"+";;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"thal aqui";"hl";"Thalictrum aquilegiifolium";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";"2a";;1;;;;;;;;;;;;"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";
"vale mont";"hl";"Valeriana montana";;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;"+";;;;;;"+";;;"+";;;;;;;;"+";"+";1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r"
"euph amyg amyg";"hl";"Euphorbia amygdaloides";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;"+";;;;;;;;;"+";;"+";;"+";;;"r";"+";"+";;;;;"r";1;"+";;;"+";;;;1;"+";;"+";;;"+";;1;;;;;;1;;"+";1;1;1;;;;"+";"+";"+";"+";;
"apos foet";"hl";"Aposeris foetida";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;"+";"+";"+";"+";"r";;;;;;;"+";;;;"+";"+";;;"+";;;;"+";"+";;"+";1;;;1;1;"+";"2a";1;"+";"+";"+";;1;1;"+";1;"+";;"+";
"poly vert";"hl";"Polygonatum verticillatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;"+";"+";"+";"+";"+";"r";"+";1;;1;1;;;;;"+";;"+";;;"+";;;"+";;"r";;;"+";"+";"+";1;"r";;1;;"+";"+";1;;;"+";"+";1;1;"+";"+";"+";"+";;;
"brac sylv";"hl";"Brachypodium sylvaticum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;"+";;"2a";;;;"+";;;;"+";;;"2a";;"+";;"+";;;;;;;1;;;;1;;;;;;;
"pren purp";"hl";"Prenanthes purpurea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;1;;;;;;;;;;;;;;;"r";;;"+";;;;;"+";;1;;;1;1;"r";1;"+";1;;"+";;"+";1;;;;;;
"hier muro";"hl";"Hieracium murorum";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"r";;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;"r";;;"+";;;1;;1;;;1;
"hier pilo sum";"hl";"Hieracium pilosum";;;"+";;;;;;;;;"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"mela sylv";"hl";"Melampyrum sylvaticum";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;1;;;;"+";"+";;;"2a";;;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;;"+";;1;;;;;;;;1;;;;;;;;"2a";;;;;;;;;;;;;;;;;
"arab stel";"hl";"Arabis stellulata";;;;;;"+";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ceph long";"hl";"Cephalanthera longifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;;;;;"r";;;;"r";"+";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;"r";"+";;;;"r";;;;;"r";"+";;;;;;;;"r";;"r";;;
"sene ovat ovat";"hl";"Senecio ovatus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;"+";"r";"+";;;;;;"+";
"viol reic";"hl";"Viola reichenbachiana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;;;;"r";;"+";"r";;;;;
"phyt orbi";"hl";"Phyteuma orbiculare";;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;"+";;;;"+";;;;;;;;;;;;;;;;;;;;"+";;;;;;;"r";;;;;"+";;;"+";;;;;;
"rosa pend";"hl";"Rosa pendulina";;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;1;;"+";;;;"+";;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";1;"+";;;"r";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"r";;;;;;;;
"pote erec";"hl";"Potentilla erecta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";;;;"+";;;;;;;;;;;;;;;;;;;
"frag vesc";"hl";"Fragaria vesca";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;"+";"+";;;;"r";;;;;"+";;;;;;;;;;;;;;
"camp pers";"hl";"Campanula cochleariifolia";;;;;;"+";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;1;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";
"gent cili";"hl";"Gentianopsis ciliata";;;;;;;;;;"+";;"r";;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;"r";
"care digi";"hl";"Carex digitata";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;1;;;;;;;;;;;"+";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";1;;;;;;;;;;;;;;"+";;;;;;;;"+";;;1;
"epip hell hell";"hl";"Epipactis helleborine s.str";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;"r";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;"+";;;"r";;;;;"+";;;;;;;;;;;;;;"r";;;;;;;;;
"kern saxa";"hl";"Kernera saxatilis";;"+";;"r";;;;;;;"r";;;"+";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;
"leon hisp slat";"hl";"Leontodon hispidus";;;"+";;;;;;;;;;;;;;;;"+";;;;;;;;;1;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;
"gali albu";"hl";"Galium album s.str.";;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali sylv";"hl";"Galium sylvaticum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;1;;;;"r";;;;;;"+";;;;;;;;;
"cyan mont";"hl";"Cyanus montanus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;"+";;;;;"+";;;;;;;;;;;;;;;;;;;;
"linu cath";"hl";"Linum catharticum";;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;"r";;;;;;;"+";;;;;;;;;;;;;;;;;;;
"vale saxa";"hl";"Valeriana saxatilis";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"+";;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"briz medi";"hl";"Briza media";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"brac pinn";"hl";"Brachypodium pinnatum";;;;;;;;;;;;;;"2a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fest rubr";"hl";"Festuca rubra";;;;;;;;;;;;;;;;;;;;;;;;"2m";;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;
"gali luci";"hl";"Galium lucidum";;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;1;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"bell mich";"hl";"Bellidiastrum michelii";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;"r";;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;
"lath prat prat";"hl";"Lathyrus pratensis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;"r";;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;
"eupa cann";"hl";"Eupatorium cannabinum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;
"hupe sela";"hl";"Huperzia selago";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;"2b"
"ceph dama";"hl";"Cephalanthera damasonium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"r";;;;;"+";;;;;;;;;
"neot nidu";"hl";"Neottia nidus-avis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;"r";;;;;"r";;;;;;;;;
"lili mart";"hl";"Lilium martagon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;"r";;;;;;;;;;;"+";;;
"care brac";"hl";"Carex brachystachys";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;
"sali appe";"hl";"Salix appendiculata";;;"r";;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"card enne";"hl";"Cardamine enneaphyllos";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"+";;;;;;"+";;;
"luzu sylv sylv";"hl";"Luzula sylvatica s. lat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"tofi caly";"hl";"Tofieldia calyculata";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"medi lupu";"hl";"Medicago lupulina";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"aspl viri";"hl";"Asplenium viride";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";
"oxal acet";"hl";"Oxalis acetosella";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;
"ajug rept";"hl";"Ajuga reptans";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"r";;;;;;;;;;;;;;
"phyt spic spic";"hl";"Phyteuma spicatum ssp. spicatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"+";;;;;;;;;
"conv maja maja";"hl";"Convallaria majalis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
"crat mono";"hl";"Crataegus monogyna";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;
"gymn cono cono";"hl";"Gymnadenia conopsea ssp. conopsea";;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"plan lanc";"hl";"Plantago lanceolata";;;;;;;;;;;;;;;;;;;;;;;;"+";;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care ferr";"hl";"Carex ferruginea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care sylv";"hl";"Carex sylvatica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"moeh musc";"hl";"Moehringia muscosa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"camp trac";"hl";"Campanula trachelium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"agro alpi";"hl";"Agrostis alpina";;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"homa pube pube";"hl";"Avenula pratensis ssp. pratensis";;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cent jace jace";"hl";"Centaurea jacea ssp. jacea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"clem vita";"hl";"Clematis vitalba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"trif prat prat";"hl";"Trifolium pratense ssp. pratense";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gent ascl";"hl";"Gentiana asclepiadea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"soli virg virg";"hl";"Solidago virgaurea ssp. virgaurea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gale mont";"hl";"Galeobdolon montanum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;
"lact mura";"hl";"Lactuca muralis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;1;;;;;;;;;;
"poly odor";"hl";"Polygonatum odoratum";;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ceph rubr";"hl";"Cephalanthera rubra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"arab sagi";"hl";"Arabis sagittata";;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"brom erec";"hl";"Bromus erectus";;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"onon repe proc";"hl";"Ononis repens";;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"arab alpi alpi";"hl";"Arabis alpina ssp. alpina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"verb thap";"hl";"Verbascum thapsus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"phle prat";"hl";"Phleum pratense";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"fiss dubi";"ml";"Fissidens dubius";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;"+";;;;;;;;1;;;;;"+";;"+";;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;"+";
"ditr flex";"ml";"Ditrichum flexicaule";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"poly form";"ml";"Polytrichum formosum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
"dicr scop";"ml";"Dicranum scoparium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
"leuc juni";"ml";"Leucobryum juniperoideum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;"+";;;;;1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a"
"hylo sple";"ml";"Hylocomium splendens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
