taxon;matched.taxon;abbr
Senecio germanicus;Senecio nemorensis s.lat.;sene nemo slat
Stellaria nemorum s.str.;Stellaria nemorum s.str.;stel nemo
Ulmus glabra;Ulmus glabra;ulmu glab
Euphorbia dulcis;Euphorbia dulcis;euph dulc
Lunaria rediviva;Lunaria rediviva;luna redi
Ribes uva-crispa;Ribes uva-crispa s.lat.;ribe uvac slat
Anomodon viticulosus;Anomodon viticulosus;anom viti
Anthriscus sylvestris;Anthriscus sylvestris s.str.;anth sylv
Chaerophyllum aromaticum;Chaerophyllum aromaticum;chae arom
Euphorbia amygdaloides;Euphorbia amygdaloides ssp. amygdaloides;euph amyg amyg
Salix caprea;Salix caprea;sali capr
Arctium lappa;Arctium lappa;arct lapp
Carduus crispus;Carduus crispus ssp. crispus;card cris cris
Carex buekii;Carex buekii;care buek
Galeopsis bifida;Galeopsis bifida;gale bifi
Mentha longifolia;Mentha longifolia;ment long
Salix alba;Salix alba;sali alba
Symphytum officinale;Symphytum officinale s.str.;symp offi
Anemone ranunculoides;Anemone ranunculoides;anem ranu
Galanthus nivalis;Galanthus nivalis;gala niva
Geranium phaeum;Geranium phaeum s.lat.;gera phae slat
Isopyrum thalictroides;Isopyrum thalictroides;isop thal
Omphalodes scorpioides;Omphalodes scorpioides;omph scor
Populus x canadensis (P. deltoides x nigra);Populus × canadensis s.lat.;popu cana
Silene dioica;Silene dioica;sile dioi
Ulmus glabra;Ulmus glabra;ulmu glab
Chaerophyllum hirsutum;Chaerophyllum hirsutum s.str.;chae hirs
Arctium tomentosum;Arctium tomentosum;arct tome
Cuscuta europaea;Cuscuta europaea;cusc euro
Sisymbrium strictissimum;Sisymbrium strictissimum;sisy stri
Picea abies;Picea abies;pice abie
Carex pilosa;Carex pilosa;care pilo
Vinca minor;Vinca minor;vinc mino
Cardamine impatiens;Cardamine impatiens;card impa
Chrysosplenium alternifolium;Chrysosplenium alternifolium;chry alte
Veronica hederifolia agg.;Veronica hederifolia agg.;vero hede aggr
Aethusa cynapium;Aethusa cynapium s.lat.;aeth cyna slat
Calystegia sepium;Calystegia sepium s.str.;caly sepi
Silene x hampeana (S. dioica x latifolia ssp. alba);Silene × hampeana;sile ×ham
Fagus sylvatica;Fagus sylvatica;fagu sylv
Fagus sylvatica;Fagus sylvatica;fagu sylv
Glyceria fluitans;Glyceria fluitans;glyc flui
Prunus padus;Prunus padus ssp. padus;prun padu padu
Aruncus dioicus;Aruncus dioicus;arun dioi
Daphne mezereum;Daphne mezereum;daph meze
Lilium martagon;Lilium martagon;lili mart
Actaea spicata;Actaea spicata;acta spic
Dentaria bulbifera;Cardamine bulbifera;card bulb
Mercurialis perennis;Mercurialis perennis s.str.;merc pere
Milium effusum;Milium effusum ssp. effusum;mili effu effu
Prenanthes purpurea;Prenanthes purpurea;pren purp
Bromus benekenii;Bromus benekenii;brom bene
Ulmus glabra;Ulmus glabra;ulmu glab
Salvia glutinosa;Salvia glutinosa;salv glut
Festuca firmula;Festuca guestfalica;fest gues
Myosotis sylvatica;Myosotis sylvatica s.str.;myos sylv
Veronica chamaedrys;Veronica chamaedrys s.lat.;vero cham slat
Pohlia species;Pohlia sp.;pohl spec ies
Crataegus laevigata;Crataegus laevigata ssp. laevigata;crat laev laev
Melampyrum nemorosum;Melampyrum nemorosum s.str.;mela nemo
Anomodon attenuatus;Anomodon attenuatus;anom atte
Brachythecium populeum;Brachythecium populeum;brac popu
Fissidens dubius;Fissidens dubius;fiss dubi
Mnium stellare;Mnium stellare;mniu stell
Thalictrum aquilegiifolium;Thalictrum aquilegiifolium;thal aqui
Veratrum nigrum;Veratrum nigrum;vera nigr
Festuca altissima;Festuca altissima;fest alti
Hypericum hirsutum;Hypericum hirsutum;hype hirs
Luzula pilosa;Luzula pilosa;luzu pilo
Festuca heterophylla;Festuca heterophylla;fest hete ylla
Neottia nidus-avis;Neottia nidus-avis;neot nidu
Galium album s.str.;Galium album s.str.;gali albu
Pimpinella major;Pimpinella major s.lat.;pimp majo slat
Plagiothecium species;Plagiothecium sp.;plag cium spec ies
Lonicera xylosteum;Lonicera xylosteum;loni xylo
Euphorbia angulata;Euphorbia angulata;euph angu
Inula salicina;Inula salicina ssp. salicina;inul sali sali
Laserpitium latifolium;Laserpitium latifolium s.lat.;lase lati slat
Staphylea pinnata;Staphylea pinnata;stap pinn
Berberis vulgaris;Berberis vulgaris;berb vulg
Pyrus pyraster;Pyrus pyraster;pyru pyra
Viola hirta;Viola hirta;viol hirt
Epilobium angustifolium;Epilobium angustifolium;epil angu
Galium rotundifolium;Galium rotundifolium;gali rotu
Abies alba;Abies alba;abie alba
Prunus spinosa;Prunus spinosa;prun spin
Phyteuma spicatum;Phyteuma spicatum;phyt spic
Sambucus racemosa;Sambucus racemosa;samb race
Taxus baccata;Taxus baccata;taxu bacc
Tilia platyphyllos;Tilia platyphyllos;tili plat
Sambucus racemosa;Sambucus racemosa;samb race
Taxus baccata;Taxus baccata;taxu bacc
Dentaria enneaphyllos;Cardamine enneaphyllos;card enne
Senecio ovatus;Senecio ovatus ssp. ovatus;sene ovat ovat
Galeopsis tetrahit;Galeopsis tetrahit s.str.;gale tetr
Hordelymus europaeus;Hordelymus europaeus;hord euro
Atropa bella-donna;Atropa bella-donna;atro bell
Cephalanthera rubra;Cephalanthera rubra;ceph rubr
Cladonia squamosa;Cladonia squamosa var. squamosa;clad squa squa
Cladonia species;Cladonia sp.;clad spec ies
Cladonia phyllophora;Cladonia phyllophora;clad phyl
Campanula rotundifolia;Campanula rotundifolia s.str.;camp rotu
Galium valdepilosum;Galium valdepilosum;gali vald
Bartramia pomiformis;Bartramia pomiformis;para pomi
Abies alba;Abies alba;abie alba
Betula pendula;Betula pendula;betu pend
Peltigera canina;Peltigera canina;pelt cani
Cystopteris fragilis;Cystopteris fragilis s.str.;cyst frag
Paraleucobryum longifolium;Paraleucobryum longifolium;para long
Ribes alpinum;Ribes alpinum;ribe alpi
Orthodicranum montanum;Dicranum montanum;dicr mont
Rosa pendulina;Rosa pendulina;rosa pend
Polystichum aculeatum;Polystichum aculeatum s.str.;poly acul
Aconitum lycoctonum ssp. vulparia;Aconitum lycoctonum ssp. vulparia;acon lyco vulp
Astrantia major;Astrantia major;astr majo
Staphylea pinnata;Staphylea pinnata;stap pinn
Aconitum variegatum;Aconitum variegatum s.lat.;acon vari slat
Plagiochila porelloides;Plagiochila porelloides;plag pore
Arum cylindraceum;Arum cylindraceum;arum cyli
Bryonia alba;Bryonia alba;bryo alba
Chenopodium hybridum;Chenopodium hybridum;chen hybr
Crataegus laevigata;Crataegus laevigata ssp. laevigata;crat laev laev
Fumaria schleicheri;Fumaria schleicheri;fuma schl
Silene nutans ssp. nutans;Silene nutans ssp. nutans;sile nuta nuta
Ulmus minor;Ulmus minor ssp. minor;ulmu mino mino
Euonymus europaeus;Euonymus europaeus;euon euro
Populus tremula;Populus tremula;popu trem
Sorbus aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Bryum species;Bryum sp.;bryu spec ies
Isothecium alopecuroides;Isothecium alopecuroides;isot alop
Taxiphyllum wisgrillii;Taxiphyllum wissgrillii;taxi wiss
Ulmus laevis;Ulmus laevis;ulmu laev
