Aufnahme;Aufnahmedatum;Seehöhe;Exposition;Neigung;Lokalität
4404;1998-08-17;1955;KF.X;0;Nördlich Wctterkogel
4405;1998-08-17;1950;SSE;5;westlich Ochsen reichkar, zwischen Weg und Wetterkogel
4406;1998-08-17;1955;S;5;Nordwestlich Wetterkogel
4407;1998-08-17;1940;SSE;30;Westlich Ochsenreichkar, unterm Wetterkogel
4408;1998-08-17;1940;N;10;Wetterkogel Nord
4409;1998-08-17;1950;NNE;3;Wctterkogel, Nordwest
4410;1998-08-17;1985;NW;10;Westlich Wctterkogel
4411;1998-08-17;1995;NW;20;Westlich Wetterkogel
4412;1998-08-17;1960;E;25;westlich Wetterkogcl
4413;1998-08-17;1950;EES;60;südwestlich Wctterkogel
4414;1998-08-17;1965;E;60;Nordwestlich Wetterkogel
4415;1998-08-17;1975;SW;5;südwestlich Wctterkogel
4416;1998-08-17;1995;E;25;Westlich Wetterkogcl
4417;1998-08-17;1980;S;35;westlich Wetterkogel
4418;1998-08-17;2030;SSE;25;Westlich Wctterkogel
4419;1998-08-17;2000;KEX;0;westlich Wetterkogcl, ca. 300m nordöstlich der Wegkreuzung Voitsthaler Hütte - Edelbodenalm
4420;1998-08-18;2100;NWW;20;östlich Hoch wart
4421;1998-08-18;2110;KEX;0;Nördlich Zaglkogcl
4422;1998-08-18;2040;NNE;10;Fuß des Hochwart (Ostseite)
4423;1998-08-18;2070;S;40;Hochwart Osthang
4424;1998-08-18;2030;NW;80;Kar nordöstlich des Hochwart
4425;1998-08-18;2040;KEX;0;Östlich Hochwart im Graben
4426;1998-08-18;2005;KEX;0;Nordfuß des Hochwart
4427;1998-08-18;2030;NE;15;Hochwart Nordosthang
4428;1998-08-18;2020;E;70;Hochwart, Nordscite
4430;1998-09-09;1270;N;25;ober Schütterbaueralm im Graben
4431;1998-09-09;1270;N;15;oberhalb Schüttbaueralm
4432;1998-09-09;1470;EEN;35;Weg zum Stadurz
4433;1998-09-09;1480;EES;70;Weg zum Stadurz
4434;1998-09-09;1480;EEN;25;Zwischen Stadurz und Hochalpenhöhe
4435;1998-09-09;1490;NE;5;Weg zum Stadurz
4436;1998-09-09;1520;NE;30;Zwischen Stadurz und Hochalpenhöhe
4437;1998-09-09;1570;W;35;Weg zum Stadurz
4438;1998-09-09;1550;SE;35;Stadurz
4439;1998-09-09;;W;25;Stadurz
4440;1998-09-09;1650;NW;15;Hochalpenhöhe, gegenüber (östlich) Stadurz
4441;1998-09-09;1700;W;25;Hochalpenhöhe
4442;1998-09-09;1730;SW;25;Hochalpenhöhe, nordöstlich der Almhütte
4443;1998-09-09;1710;W;10;Hochalpenhöhe
4444;1998-09-09;1690;KEX;0;Hochalpen-Höhe, ca. 400m östlich der Halterhütte
4445;1998-09-09;1600;KEX;0;Hochalpenhöhe
4446;1998-09-09;1600;KEX;0;Hochalpenhöhe
4447;1998-09-09;1600;W;20;Hochalpenhöhe
4448;1998-09-09;1610;NWW;25;Hochalpen-Höhe, 500m südlich der Halterhütte
4449;1998-09-10;1930;NW;25;Riegerin Gipfel
4450;1998-09-10;1910;NW;20;Riegerin, westlich Gipfel
4451;1998-09-10;1890;KEX;0;Riegerin, nördlich unterm Gipfel
4452;1998-09-10;1890;KEX;0;Riegerin, nördlich Gipfel
4453;1998-09-10;1900;S;25;Riegerin, nördlich unterm Gipfel
4454;1998-09-10;1900;E;15;Riegerin, nordöstlich Gipfel
4455;1998-09-10;1880;SSW;20;Riegerin, nördlich unterm Gipfel
4456;1998-09-10;1880;KEX;0;Riegerin, westlich Gipfel
4457;1998-09-10;1870;KEX;0;Riegerin, kleines Plateau westlich unterhalb des Gipfels
4458;1998-09-10;1860;S;25;Riegerin, Südhang
4459;1998-09-10;1890;sw;35;Riegerin, westlich Gipfel
4460;1998-09-10;1790;s;30;Riegerin, Südhang
4461;1998-09-10;1750;sww;35;Riegerin Westhang
4462;1998-09-23;1840;NNW;25;Mieserkogel
4463;1998-09-23;1835;N;25;Östlich Steinernes Hüttl
4464;1998-09-23;1840;N;35;Micserkogel
4465;1998-09-23;1830;EES;30;östlich Steinernes Hüttl, Aflenzer Staritzen
4466;1998-09-23;1850;NNW;15;Zwischen Mieserkogel und Steinernem Hüttel
4467;1998-09-23;1830;N;40;Östlich Steinernes Hüttl, Aflenzer Staritzen
4468;1998-09-23;1850;NE;20;vor dem Steinernen Hüttel, unterm Weg
4469;1998-09-23;1850;SW;35;östlich Steinernes Hüttl, Aflenzer Staritzen
4470;1998-09-23;1860;NNE;5;Östlich Steinernes Hüttl, Aflenzer Staritzen
4471;1998-09-23;1915;N;20;kurz vor dem Steinernen Hüttel, 20 m oberhalb des Weges
4472;1998-09-23;1930;KEX;0;Östlich Steinernes Hüttl
4473;1998-09-23;1930;SW;5;Steinernes Hüttel
4474;1998-09-23;1930;NWW;;Steinernes Hüttl, Aflenzer Staritzen
4475;1998-09-23;1920;NNW;10;ca. 200m nach dem Steinernen Hüttel
4476;1998-09-24;1895;S;30;Steinernes Hüttl
4477;1998-09-24;1885;NW;20;Südlich Hochweichsel
4478;1998-09-23;1850;NWW;25;unter der Hochweichsel (südlich)
4479;1998-09-24;1990;S;20;Südlich Ringkarwand
4480;1998-09-24;2000;KEX;0;Südöstlich Ringkar
4481;1998-09-24;1985;SWW;15;Südlich Ringkarwand
4482;1998-09-24;1965;S;15;zwischen Ringkarwand und Hochweichsel
4483;1998-09-24;1945;KEX;0;Südlich Ringkarwand
4484;1998-09-24;1950;NW;20;zwischen Ringkarwand und Hochweichscl
4485;1998-09-24;1940;SW;10;südlich Ringkarwand
4486;1998-09-24;1910;W;15;zwischen Ringkarwand und Hochwcichsel
4487;1998-09-24;1985;NNW;15;Severinkogcl, Aflenzer Staritzen
4488;1998-09-24;1950;KEX;0;Dürrwiesen
4489;1998-09-24;2000;KEX;0;Dürrwiesen, Aflenzer Staritzen
4490;1998-09-24;2010;SW;20;Dürrwiesen, Aflenzer Staritzen
4491;1998-09-24;1970;NWW;15;Ein hang zur Dürrwiesen (südöstlich)
4492;1998-09-24;1990;N;20;Östlich Dürrwiesen, Aflenzer Staritzen
4493;1998-09-24;1980;EEN;15;lOOrn östlich Dürrwiesen, unterm Weg
5001;1996-07-13;1940;S;80;Kleiner Ebenstein
5002;1996-07-13;1930;KEX;0;Sattel,nahe Kleiner Ebenstein
5003;1996-07-13;2105;N;20;n Großer Ebenstein-Hauptgipfel
5004;1996-07-13;2100;NW;5;Gipfelbereich d. Großer Ebenstein
5005;1996-07-14;1990;SSW;30;EbensteinSüdhang
5006;1996-07-14;2010;SW;30;Südwesthang des Großer Ebenstein
5007;1996-07-14;1920;W;30;Südwesthang des Großer Ebenstein
5008;1996-07-15;1925;NW;12;1. Sch Uttfeld w Sattel
5009;1996-07-15;2020;W;45;unter Wcstabfall des Großer Ebenstein
5010;1996-07-15;2025;SSW;55;unter Westabfall des Großer Ebenstein
5011;1996-07-19;1795;SSE;40;"Wilde Kirche Weg ; s der beiden Rücken"
5012;1996-07-20;1965;SW;30;EbenstcinSüdwesthang
5013;1996-07-20;2060;SE;50;unter Ebensteins-wand
5014;1996-07-20;2050;SE;40;u. kl. s-Wand des Großer Ebensrein
5015;1996-07-21;2060;SSE;30;obere EbensteinSüdwand, neben gr. Wegkehrc (T5)
5016;1996-07-21;1985;SSW;30;Ebenstein südhang
5017;1996-07-21;1995;s;35;EbensteinSüdhang, Mitte
5018;1996-07-22;1880;s;30;n der beiden Rücken
5019;1996-07-22;1850;SSW;25;zw. den beiden Rücken zum Kleiner Ebenstein
5020;1996-07-22;1860;EES;35;n der beiden Rücken
5021;1996-07-22;1865;S;40;n der beiden Rücken
5022;1996-07-22;1860;S;10;s Kleiner Ebenstein
5023;1996-07-29;1775;SWW;20;Zumach
5024;1996-07-29;1835;w;35;sw Kleiner Ebenstein
5025;1996-07-31;1900;SSE;30;EbensteinSüdhang, nah an o-Kante(‘Nase’)
5026;1996-07-31;1920;S;30;EbensteinSüdhang, nah an o-Kante('Nase’)
5027;1996-07-31;1955;s;35;EbensteinSüdhang, nah an o-Kante(‘Nase’)
5028;1996-07-31;1960;s;30;Mitte d. Großer Ebenstein-Südhangs
5029;1996-08-01;1760;SSE;40;ober Murmelboden unter Nase
5030;1996-08-01;1805;EES;25;ober Murmelboden, Hangfuß d. EbensteinOstabfall
5031;1996-08-01;1755;S;20;ober Murmelboden, unter Ebenstei nOstabfall
5032;1996-08-01;1865;SSE;45;ober Murmelboden, stark geneigt. Fels
5033;1996-08-01;1870;S;45;ober Murmelboden, stark geneigt. Fels
5034;1996-08-01;1890;SE;25;ober Murmelboden, u. überhängendem Felsen der Ebenstein-Ostwand
5035;1996-08-01;1880;SE;40;ob Murmelboden, unter Ebensteinowand
5036;1996-08-02;1975;SSW;20;EbensteinSüdhang, unten, 20m ö Weg
5037;1996-08-02;2010;SW;30;EbensteinSüdhang, 50m neben Weg
5038;1996-08-02;1895;s;18;Hang so unter Kleiner Ebenstein
5039;1996-08-03;1750;SW;20;Zumach
5040;1996-08-05;1925;EES;12;am Sattel, nabe Kleiner Ebenstein
5041;1996-08-05;1920;E;10;ö Sattel
5042;1996-08-05;1860;SE;60;Ostabfall des Sattels
5043;1996-08-06;1930;KEX;12;50m ö Kleiner Ebenstein
5044;1996-08-06;1935;s;6;am Sattel, 10m neben Weg
5045;1996-08-07;1930;E;30;Schutthalde ö d.Sattels
5046;1996-08-07;1925;S;25;Schutthalde ö d.Sattels
5047;1996-08-07;1925;E;30;Schutthalde ö d.Sattels
5048;1996-08-07;1935;SSE;20;ö Sattel, s der Schuttrinne
5049;1996-08-07;1920;SSE;30;ö Sattelabhang
5050;1996-08-08;1835;SW;50;Felskopf unterhalb Kleiner Ebenstein
5051;1996-08-08;1805;SSW;40;ö, über Zumach
5052;1996-08-08;1795;SW;25;100m ö weg beim Zumach
5053;1996-08-08;1820;SW;30;ö Zumach, Südwesthang , kurz unter kl. Felskopf
5054;1996-09-08;1860;S;5;Geländeabsatz s Kleiner Ebenstein
5055;1996-08-08;1885;s;35;Südhang des Kleiner Ebenstein, ö Weg, oben
5056;1996-08-09;1770;s;45;
5057;1996-08-09;1785;s;35;
5058;1996-08-09;1820;E;5;beim ‘3.Gipfel’
5059;1996-08-09;1805;SE;18;zw. den beiden Rücken zum Kleiner Ebenstein
5060;1996-08-09;1810;SE;20;zw. den beiden Rücken vom Kleiner Ebenstein, neben nn059
5061;1996-08-09;1795;EES;40;sw unter 3. Gipfel
5062;1996-08-09;1790;S;25;zw. den beiden Rücken zum Kleiner Ebenstein
5063;1996-08-14;2105;NNW;30;Großer Ebenstein Gipfclbereich,
5064;1996-08-14;1965;SW;25;EbensteinSüdhang, w Weg nach 1. Kehre
5065;1996-08-15;1980;SSW;35;EbensteinSüdhang , unten
5066;1996-08-15;1945;W;22;w-Hang vom Sattel richtung Schaufelwand
5067;1996-08-15;1890;SE;50;Karrenfeld vor Schaufelwand, n Ende
5068;1996-08-18;1745;s;65;ö Zu mach, an Latschengrenze
5069;1996-08-19;1745;N;80;ö Zumach, an Latschengrenze
5070;1996-08-19;1730;S;35;neben Wilder Kirche
5071;1996-08-19;1730;SSW;45;neben Wilde Kirche
5072;1996-08-19;1720;SSE;5;etwas ö Wilde Kirche
5073;1996-08-19;1755;SE;50;zw. den beiden Rücken zum Kleiner Ebenstein
5074;1996-08-21;1950;NNE;35;w Sattel, 2. Schuttfeld
5075;1996-08-21;1940;KEX;0;w Sattel, 2. Schuttfeld
5076;1996-08-21;1940;W;15;w Sattel, neben Schuttfeld 2
5077;1996-08-21;1950;NNE;20;2. Schuttfeld w Sattel, oben
5078;1996-08-21;1905;NNW;30;gleich n der Kante d. Schaufelwandsattels
5079;1996-08-22;1880;NW;40;n Schaufelwsattelabhang
5080;1996-08-22;1920;NW;35;w Großer Ebenstein W-mauer, jenseitsSchaufelwandsattel
5081;1996-08-22;1860;NWW;35;w Großer Ebenstein W-mauer, jenseitsSchaufelwandsattel
5082;1996-08-22;1830;NW;32;nw Großer Ebenstein, gr. Schutthalde n des Sattels
5083;1996-08-22;1815;NNW;30;zwischen Großer Ebenstein und Schaufelwand
5084;1996-08-22;1820;NE;30;Karrenfeld unter Schaufelwand
5085;1996-08-22;1875;SWW;12;s des Schufelwandsattels, oberh. Karrenfeld
5086;1996-08-22;—1J51_;KEX;0;Karren feld vor Schau fei wand
5087;1996-08-23;1935;NW;10;n unter Kleiner Ebenstein
5088;1996-08-23;1925;NW;10;w Kleiner Ebenstein, nah an Kante
5089;1996-08-23;1895;NW;30;\v Sattelabhang
5090;1996-08-23;1885;NWW;32;w Sattelabhang
5091;1996-08-24;1535;E;32;unterer Murmelboden
5092;1996-08-24;1555;E;35;unterer Murmelboden
5093;1996-08-24;1670;NE;30;ober Murmelboden, links vom Schneefeld
5094;1996-08-24;1695;NE;32;ober Murmelboden, kurz über Schneefeld
5095;1996-08-24;1755;NE;45;ober Murmelboden, unter runder Felswand
5096;1996-08-24;1770;NNE;100;ober Murmelboden, überhängender Felsen
5097;1996-08-24;1780;EES;25;ober Murmelboden, unter rundem Felsen
5098;1996-08-24;1810;NE;30;ober Murmelboden, kurz unter runder Felswand
5099;1996-08-27;1865;SW;25;Südwesthang Kleiner Ebenstein
5100;1996-08-27;1865;W;25;Südwesthang unter Kleiner Ebenstein
5101;1996-08-27;1860;SW;15;Südwest-Hang Kleiner Ebenstein
5102;1996-08-27;1855;W;5;Südwesthang Kleiner Ebenstein, vor Kante
5103;1996-08-29;1870;SE;25;ober Murmelboden, kurz vor Polstersattel
5104;1996-08-29;1895;S;25;oberer Murmelboden, nahe Polstersattel
5105;1996-08-29;1885;SE;35;ober Murmelboden, Abhang des Großer Ebenstein
5106;1996-08-29;1875;SE;40;ober Murmelboden, östlich des Großen Ebenstein-Abhangs
5107;1996-08-29;1810;S;25;ober Murmelboden
5108;1996-08-29;1755;SW;60;ober Murmelboden
5109;1996-08-29;1730;KEX;0;ober Murmelboden , Vercbnung am Kargrund
5110;1996-08-29;1570;E;32;unterer Murmelboden
5111;1996-08-30;1795;S;20;oberer Murmelboden
5112;1996-08-30;1800;S;28;oberer Murmelboden
5113;1996-08-30;1830;S;45;ober Murmelboden
5114;1996-08-31;1930;E;3;ö Kleiner Ebenstein
5115;1997-09-04;1600;SW;35;ober Murmelboden, am Unterhang zum Schneefeld hin
5116;1997-09-04;1990;NNW;35;nö Polstrersartel, obere 3m unterhalb Grat
