taxon;layer;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54
Sesleria caerulea s.str.;hl;;;1;3;1;;;+;;1;+;1;;;;;;;1;2a;;1;2a;;1;2a;1;;2a;;;2a;;3;1;;;;1;2a;;2a;2a;;;;;2b;1;2a;;2a;+;
Silene vulgaris;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;
Silene vulgaris glaereosa;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Solidago virgaurea subsp. vigaurea;hl;;;+;r;;;r;;;;;;;;+;+;+;+;1;1;;;;+;;;;;1;1;+;+;1;;1;+;;1;;;;;;;;;;;+;;;+;+;
Sorbus aria s.str.;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Sorbus aucuparia;hl;;r;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;r;;
Staphylea pinnata;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;
Stipa calamagrostis;hl;;;;;1;;;;;;1;1;;;;;;;;3;;;1;;;;;;;;;;;2a;1;;1;;;;;;;;;;;;;;;;;
Taxus baccata;hl;;r;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teucrium chamaedrys subsp. chamaedrys;hl;;;;;;;;;;;;;;;+;;;;;+;;;;1;;r;;;;;;;;;;;;;;;;;;;+;;;;;+;1;+;;+
Teucrium montanum;hl;;;;;;;;+;1;r;+;+;1;;;;;;;;;+;1;;+;;;;+;;;;;;;;;;+;+;1;+;+;;;;;;;;1;;;+
Thalictrum minus;hl;;;;;;;;1;+;;;r;;r;;+;;;;;+;+;+;r;+;;;;;;;;;;;;;;;r;+;;+;+;;;;;;;1;;;
Tilia cordata;hl;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;+;;;;;;;;
Tilia platyphyllos;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tofieldia calyculata;hl;;;;;r;;;;;;;;;;;;;;;r;r;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulmus glabra;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;
Urtica dioica;hl;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaccinium myrtillus;hl;+;+;+;r;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;+;+;;;;;
Valeriana tripteris;hl;;;;;;;;;;;+;;;;+;2m;+;1;;;;;;;;;;;1;;+;+;;;;;;;;;;;;;;;+;1;+;r;;;;r
Veronica urtifolia;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;;;;;
Viburnum lantana;hl;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;2a;;;;;;;+;;;;;;;+;;;;;;;;;
Viburnum opulus;hl;;;;;r;;;;;;;;;r;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Vincetoxicum hirundinaria;hl;;;+;+;;+;+;+;r;;+;;+;+;;;r;+;;;;;1;;+;r;;;;;;;;;;;1;;;+;r;r;;;;;;r;r;1;1;+;+;r
Viola hirta;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viola sp.;hl;;;;;;;;;r;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;
Acer platanoides;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;sl;;1;1;+;;;;;;;;;;+;;;;;1;1;;;;r;;+;;;;;;;1;;1;;1;1;;;;;;+;;2a;1;;;;;;;
Amelanchier ovalis;sl;;;;;;;;;;;;;;1;;;;;;;;1;+;+;;1;;;1;;;;;;;;1;;1;1;;;;+;1;;;1;;2b;2a;2a;1;
Berberis vulgaris;sl;;;;;r;;;;;;;;;;;1;;;;;;;;;;;;;;;;;+;1;;;;;;;;;;+;;;;;;;;;;
Betula pendula;sl;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2a;;;;;;;;;;;;;;;;;
Carpinus betulus;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clematis vitalba;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;
Clematis vitalba;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cornus mas;sl;;;;;;;;;;;;;;;1;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cornus sanguinea subsp. sanguinea;sl;;;;;;;;;;;;;;;2a;;;1;;+;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;+;+;;2a;;2a;
Corylus avellana;sl;;+;+;;;1;+;2a;;;;;;;2a;2b;1;1;1;;;;;2a;;2a;;;1;1;2a;3;2a;;2a;1;2a;2a;;;;;;2a;;2b;4;2b;2b;2b;2a;;;+
Cotoneaster tomentosus;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daphne mezereum;sl;;;;;r;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euonymus europaea;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;+;;;
Euonymus latifolia;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Fagus sylvatica;sl;3;1;+;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;
Frangula alnus;sl;;;1;;+;;+;r;;;;;;1;;;;;;;;;1;+;;;;;;;;;;+;;;;;;+;;;;2a;2a;;;;;;;;r;+
Fraxinus excelsior;sl;;;;;;;;;;;;;;;+;2a;;;1;;;;;;;;;;;+;;;;;;;;;;;;;;+;;;1;1;+;;;;2a;
Hedera helix;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippocrepis emerus;sl;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Juglans regia ;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;
Juniperus sabina;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Larix decidua;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ligustrum vulgare;sl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2a;;;
Lonicera xylosteum;sl;;;;;;;+;;;;;;;;1;1;+;1;2a;;;;;;;+;;;;+;2a;;1;;;;;;;;;;;;;;;+;;;;;;
Malus sp.;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;sl;;;+;;1;;+;;;;;;;;;;;1;1;1;;;;;;;;;;+;;+;;1;2a;;;1;;;;;;;;;;;;;;;;r
Pinus sylvestris;sl;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;
Populus sp.;sl;;;;;;;;+;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prunus avium;sl;;;;;;;;;;;;;;;1;;+;;;;;;;;;;;;;;1;;;+;;;;;;;;;;;;;;;;;;;3;
Rhamnus cathartica;sl;;;;;;;;;;;;;;;;;+;;;+;;;;2a;;;;;;1;;;;;;;;;;;;;;;;;;+;+;2a;2a;1;;
Rhamnus pumila;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus saxatilis;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;
Rhododendron hirsutum;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa canina;sl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Rosa pendulina;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;1;;;;;
Rosa tomentosa;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix appendiculata;sl;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;+;;;;;;+;;;;;;;1;;;;;;;2a
Salix eleagnos;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix purpurea;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix sp.;sl;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sorbus aria s.str.;sl;;;+;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2a;1;;;+;+;
Sorbus aucuparia subsp. aucuparia;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staphylea pinnata;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taxus baccata;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tilia cordata;sl;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2a;;;;1;;;;;
Tilia platyphyllos;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulmus glabra;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viburnum lantana;sl;;;;;;;;;;;;;;+;+;;;;;;;;;1;;1;;;1;+;2a;1;;;;1;;1;;;;;;1;2a;;;;;;;;;
Viburnum opulus;sl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
