plot,cov,mcov,hcov,lcov,bare,type,expo,slope,slope.verbode,stones,date,latitude,longitude,accuracy,elevation,alliance.code,alliance,association,bay.komp.v.type,comment,location,observer,soil,t1cov,t2cov,scov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,remarks
nber111,90,10,98,10,3,meadow,NNE,7,gentle,0,2024-05-19,48.727165,13.559909,5,440,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,110,110,110,,,5,5,Veg_FG259.5
nber112,95,5,93,15,2,meadow,SW,1,flat,0,2024-05-19,48.727202,13.560462,5,439,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,111,111,111,,,5,5,Veg_FG259.6
nber113,95,15,90,15,3,meadow,NNE,1,flat,0,2024-05-17,48.726821,13.560726,5,439,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213-GX00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,112,112,112,,,5,5,Veg_FG259.1
nber114,90,15,87,15,5,meadow,N,1,flat,0,2024-05-17,48.726652,13.561320,5,439,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,113,113,113,,,5,5,Veg_FG257.3
nber115,90,15,85,25,5,meadow,F,0,flat,0,2024-05-17,48.726836,13.562053,5,440,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,!= tab34,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,114,114,114,,,5,5,Veg_FG257.1
nber116,85,30,80,35,7,meadow,ESE,1,flat,0,2024-05-17,48.726260,13.562200,5,441,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,115,115,115,,,5,5,Veg_FG255.1
nber117,85,30,80,30,6,meadow,NNE,3,very gentle,0,2024-05-17,48.726565,13.562529,5,440,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,!= tab34,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,116,116,116,,,5,5,Veg_FG255.2
nber118,85,10,68,15,5,meadow,NE,15,moderate,0,2024-05-17,48.725150,13.560327,5,462,,,,G214-GU651E,!= tab34,Erlautal,L. Bofinger,,0,0,0,117,117,117,,,5,5,SF_FG
nber119,95,10,93,40,2,meadow,NW,5,very gentle,0,2024-06-07,48.717989,13.593231,5,496,MOL-05B,Calthion palustris Tx. 1937,,G223-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,118,118,118,,,5,5,Veg_FG_182.1
nber120,98,15,90,40,1,meadow,WNW,8,gentle,0,2024-06-07,48.718442,13.594171,5,498,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,119,119,119,,,5,5,Veg_FG190.4
nber121,98,10,90,40,1,meadow,WNW,7,gentle,0,2024-06-07,48.718580,13.594291,5,498,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,120,120,120,,,5,5,Veg_FG190.3
nber122,98,10,90,40,1,meadow,WNW,4,very gentle,0,2024-06-07,48.718701,13.594327,5,498,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,121,121,121,,,5,5,Veg_FG190.1
nber123,90,25,85,30,2,pasture,ESE,2,flat,0,2024-05-16,48.714992,13.616483,5,583,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,122,122,122,,,5,5,Veg_FG172
nber124,99,60,70,30,1,pasture,SE,10,gentle,0,2024-05-23,48.716099,13.616722,5,585,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,123,123,123,,,5,5,Veg_FG176
nber125,85,15,80,10,2,pasture,ESE,10,gentle,0,2024-05-23,48.716397,13.616788,5,587,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,124,124,124,,,5,5,Veg_FG177
nber126,95,30,85,15,1,pasture,SSE,6,gentle,0,2024-05-23,48.716823,13.617389,5,587,NAR-01C,Nardo-Juncion squarrosi (Oberd. 1957) Passarge 1964,,G332-GO6230*,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,125,125,125,,,5,5,Veg_FG177.3
nber127,70,50,65,5,5,pasture,ESE,12,moderate,0,2024-05-23,48.717012,13.617663,5,589,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,126,126,126,,,5,5,Veg_FG183
nber128,90,15,89,20,2,meadow,SSW,1,flat,0,2024-05-16,48.718816,13.620862,5,585,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,127,127,127,,,5,5,Veg_FG212.1
nber129,,,,,,meadow,SW,1,flat,0,2024-05-16,48.718995,13.620864,5,585,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,128,128,128,,,5,5,Veg_FG212.2
nber130,90,40,60,15,2,meadow,S,7,gentle,0,2024-05-16,48.719166,13.620936,5,586,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,129,129,129,,,5,5,Veg_FG215
nber131,75,30,70,25,5,meadow,S,2,flat,0,2024-05-16,48.719243,13.621232,5,587,,,,G212,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,130,130,130,,,5,5,Veg_FG217
nber132,70,35,60,15,5,meadow,ESE,1,flat,0,2024-05-16,48.719269,13.622078,5,586,,,,G212,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,131,131,131,,,5,5,Veg_FG218.2
nber133,90,30,88,20,3,meadow,S,3,very gentle,0,2024-05-16,48.719108,13.622129,5,586,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,132,132,132,,,5,5,Veg_FG218
nber134,55,10,57,80,2,meadow,ENE,1,flat,0,2024-05-20,48.719648,13.626248,5,586,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,133,133,133,,,5,5,Veg_FG231.6
nber135,60,15,55,70,1,meadow,SSW,1,flat,0,2024-05-20,48.719672,13.626396,5,586,SCH-03B,Caricion fuscae Koch 1926,,M421-MF00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,134,134,134,,,5,5,Veg_FG231.5
nber136,88,15,80,70,2,meadow,SW,1,flat,0,2024-05-16,48.719759,13.626584,5,586,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,135,135,135,,,5,5,Veg_FG231.4
nber137,75,15,65,75,5,meadow,S,1,flat,0,2024-05-16,48.719773,13.626488,5,586,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,136,136,136,,,5,5,Veg_FG231.3
nber138,70,5,69,75,3,meadow,SSE,3,very gentle,0,2024-05-16,48.719905,13.626198,5,587,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,137,137,137,,,5,5,Veg_FG231.1
nber139,70,3,69,65,5,meadow,SW,8,gentle,0,2024-05-16,48.720011,13.626544,5,589,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213-GX00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,138,138,138,,,5,5,Veg_FG231.2
nber140,98,20,95,15,1,meadow,NNW,3,very gentle,0,2024-05-20,48.719105,13.627363,5,587,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,139,139,139,,,5,5,Veg_FG220.6
nber141,90,15,85,15,2,meadow,NNW,3,very gentle,0,2024-05-19,48.718939,13.627748,5,588,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,140,140,140,,,5,5,Veg_FG220.5
nber142,97,25,92,10,1,meadow,NNW,3,very gentle,0,2024-05-20,48.718852,13.627919,5,589,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,141,141,141,,,5,5,Veg_FG220.4
nber143,95,5,93,10,2,meadow,WNW,2,flat,0,2024-05-20,48.718995,13.628309,5,589,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,142,142,142,,,5,5,Veg_FG220.3
nber144,75,3,75,15,10,meadow,WNW,1,flat,0,2024-05-20,48.719174,13.628067,5,588,MOL-05B,Calthion palustris Tx. 1937,,G221-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,143,143,143,,,5,5,Veg_FG220.7
nber145,90,5,95,15,1,meadow,WNW,2,flat,0,2024-05-20,48.719170,13.628682,5,589,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,144,144,144,,,5,5,Veg_FG220.2
nber146,97,5,96,5,1,meadow,NNW,4,very gentle,0,2024-05-20,48.719329,13.628401,5,588,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,145,145,145,,,5,5,Veg_FG220.8
nber147,98,15,95,10,1,meadow,SE,2,flat,0,2024-05-20,48.719436,13.628452,5,588,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,146,146,146,,,5,5,Veg_FG220.9
nber148,90,5,89,10,1,meadow,NNW,4,very gentle,0,2024-05-20,48.719420,13.628799,5,588,MOL-05B,Calthion palustris Tx. 1937,,G222-GN00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,147,147,147,,,5,5,Veg_FG220.1
nber149,99,5,92,15,1,meadow,NNW,2,flat,0,2024-06-12,48.720428,13.630960,5,591,MOL-01B,Phyteumato-Trisetion Ellmauer et Mucina 1993,,G214-GY6520,"G214-GU651E, GY6520",FFH-Gebiet Erlau,L. Bofinger,,0,0,0,148,148,148,,,5,5,Veg_FG_235.1
nber150,95,65,90,15,2,meadow,NNW,1,flat,0,2024-06-13,48.720457,13.631645,5,591,MOL-01B,Phyteumato-Trisetion Ellmauer et Mucina 1993,,G214-GY6520,"G214-GU651E, GY6520",FFH-Gebiet Erlau,L. Bofinger,,0,0,0,149,149,149,,,5,5,Veg_FG235.2
nber151,85,16,75,60,3,meadow,WSW,3,very gentle,0,2024-05-20,48.720245,13.632708,5,592,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213-GX00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,150,150,150,,,5,5,Veg_FG300.4
nber152,90,10,82,37,3,meadow,WSW,2,flat,0,2024-05-20,48.720342,13.632759,5,592,MOL-01B,Phyteumato-Trisetion Ellmauer et Mucina 1993,,G214-GY6520,!= tab34,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,151,151,151,,,5,5,Veg_FG300.5
nber153,97,10,95,60,1,meadow,SSW,3,very gentle,0,2024-05-20,48.720309,13.633040,5,593,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G213-GX00BK,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,152,152,152,,,5,5,Veg_FG300.3
nber154,85,15,82,40,3,meadow,SW,2,flat,0,2024-05-20,48.720156,13.632895,5,592,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,153,153,153,,,5,5,Veg_FG300.6
nber155,80,10,75,50,3,meadow,SSW,4,very gentle,0,2024-05-20,48.720336,13.633175,5,593,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,154,154,154,,,5,5,Veg_FG300.7
nber156,90,20,75,45,3,meadow,SSW,4,very gentle,0,2024-05-20,48.720242,13.633261,5,593,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,155,155,155,,,5,5,Veg_FG300.1
nber157,97,10,95,50,1,meadow,SSW,1,flat,0,2024-05-20,48.720072,13.633163,5,592,MOL-05B,Calthion palustris Tx. 1937,,G211,,FFH-Gebiet Erlau,L. Bofinger,,0,0,0,156,156,156,,,5,5,Veg_FG300.2
nber158,99,35,80,60,1,meadow,NE,9,gentle,0,2024-05-24,48.655740,13.437742,5,341,MOL-01B,Phyteumato-Trisetion Ellmauer et Mucina 1993,,G214-GY6520,,Erlautal,L. Bofinger,,0,0,0,157,157,157,,,5,5,SF_Fischhaus 1
nber159,99,10,80,80,1,meadow,NE,24,steep,0,2024-05-24,48.655896,13.437507,5,340,MOL-01B,Phyteumato-Trisetion Ellmauer et Mucina 1993,,G214-GY6520,!= tab34,Erlautal,L. Bofinger,,0,0,0,158,158,158,,,5,5,SF_Fischhaus 2
nber160,90,15,85,15,1,meadow,ENE,13,moderate,0,2024-05-24,48.655882,13.437253,5,345,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,Erlautal,L. Bofinger,,0,0,0,159,159,159,,,5,5,SF_Fischhaus 3
nber161,95,20,80,50,1,meadow,NNE,19,moderate,0,2024-05-24,48.655758,13.436288,5,364,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G214-GU651E,,Erlautal,L. Bofinger,,0,0,0,160,160,160,,,5,5,SF_Fuschhaus 4
nber162,99,20,80,70,1,meadow,NE,20,moderate,0,2024-05-24,48.656159,13.437021,5,341,MOL-01A,Arrhenatherion elatioris Luquet 1926,,G212-GU651L,,Erlautal,L. Bofinger,,0,0,0,161,161,161,,,5,5,SF_Fischhaus 5
