plot;species;layer;cov;voucher;comment;history
john121;Gnaphalium sylvaticum;hl;+;;;
john121;Hieracium alpinum;hl;+;;;
john121;Hieracium lachenalii;hl;+;;;
john121;Hieracium lactucella;hl;+;;;
john121;Hieracium murorum;hl;+;;;
john121;Homogyne alpina;hl;8;;;
john121;Hypericum maculatum;hl;+;;;
john121;Juncus filiformis;hl;+;;;
john121;Leontodon autumnalis;hl;+;;;
john121;Leontodon helveticus;hl;2;;;
john121;Leucanthemum ircutianum;hl;+;;;
john121;Ligusticum mutellina;hl;+;;;
john121;Luzula luzuloides;hl;+;;;
john121;Luzula multiflora;hl;+;;;
john121;Lysimachia nemorum;hl;+;;;
john121;Melampyrum sylvaticum;hl;+;;;
john121;Nardus stricta;hl;3;;;
john121;Phleum rhaeticum;hl;15;;;
john121;Plantago lanceolata;hl;+;;;
john121;Poa alpina;hl;8;;;
john121;Poa annua;hl;5;;;
john121;Poa pratensis;hl;+;;;
john121;Potentilla aurea;hl;+;;;
john121;Potentilla erecta;hl;3;;;
john121;Prunella vulgaris;hl;+;;;
john121;Pseudorchis albida;hl;+;;;
john121;Ranunculus acris;hl;+;;;
john121;Ranunculus repens;hl;5;;;
john121;Rumex alpestris;hl;+;;;
john121;Rumex alpinus;hl;10;;;
john121;Sagina saginoides;hl;+;;;
john121;Senecio ovatus;hl;+;;;
john121;Senecio subalpinus;hl;+;;;
john121;Soldanella pusilla;hl;+;;;
john121;Solidago virgaurea;hl;2;;;
john121;Sorbus aucuparia;hl;+;;;
john121;Stellaria graminea;hl;+;;;
john121;Stellaria nemorum;hl;+;;;
john121;Thelypteris limbosperma;hl;+;;;
john121;Trifolium pratense;hl;3;;;
john121;Trifolium repens;hl;3;;;
john121;Trisetum flavescens;hl;+;;;
john121;Vaccinium myrtillus;hl;3;;;
john121;Veratrum album;hl;+;;;
john121;Veronica alpina;hl;+;;;
john121;Veronica chamaedrys;hl;+;;;
john121;Veronica officinalis;hl;+;;;
john121;Veronica serpyllifolia;hl;+;;;
john121;Viola biflora;hl;+;;;
john122;Achillea millefolium agg.;hl;3;;;
john122;Adenostyles alliariae;hl;+;;;
john122;Agrostis capillaris;hl;20;;;
john122;Ajuga pyramidalis;hl;+;;;
john122;Alchemilla straminea;hl;8;;;
john122;Anthoxanthum alpinum;hl;10;;;
john122;Arnica montana;hl;3;;;
john122;Athyrium distentifolium;hl;+;;;
john122;Avenella flexuosa;hl;+;;;
john122;Bellis perennis;hl;+;;;
john122;Briza media;hl;+;;;
john122;Campanula barbata;hl;+;;;
john122;Campanula scheuchzeri;hl;2;;;
john122;Cardaminopsis halleri;hl;+;;;
john122;Carex leporina;hl;+;;;
john122;Carum carvi;hl;+;;;
john122;Cerastium holosteoides;hl;+;;;
john122;Crepis aurea;hl;+;;;
john122;Dactylis glomerata;hl;2;;;
john122;Deschampsia cespitosa;hl;3;;;
john122;Epilobium sp.;hl;+;;;
john122;Euphrasia sp.;hl;2;;;
john122;Festuca pratensis;hl;+;;;
john122;Festuca rubra agg.;hl;15;;;
john122;Gnaphalium sylvaticum;hl;+;;;
john122;Hieracium lachenalii;hl;+;;;
john122;Hieracium lactucella;hl;+;;;
john122;Hieracium murorum;hl;+;;;
john122;Homogyne alpina;hl;5;;;
john122;Hypericum maculatum;hl;+;;;
john122;Juncus filiformis;hl;2;;;
john122;Leontodon autumnalis;hl;+;;;
john122;Leucanthemum ircutianum;hl;+;;;
john122;Lotus corniculatus;hl;+;;;
john122;Luzula luzulina;hl;+;;;
john122;Luzula luzuloides;hl;+;;;
john122;Luzula multiflora;hl;+;;;
john122;Melampyrum sylvaticum;hl;+;;;
john122;Nardus stricta;hl;8;;;
john122;Phleum rhaeticum;hl;15;;;
john122;Plantago lanceolata;hl;+;;;
john122;Poa alpina;hl;3;;;
john122;Poa annua;hl;+;;;
john122;Poa pratensis;hl;5;;;
john122;Potentilla aurea;hl;8;;;
john122;Potentilla erecta;hl;+;;;
john122;Prunella vulgaris;hl;+;;;
john122;Pseudorchis albida;hl;+;;;
john122;Ranunculus acris;hl;2;;;
john122;Ranunculus repens;hl;+;;;
john122;Rumex alpestris;hl;+;;;
john122;Rumex alpinus;hl;3;;;
john122;Sagina saginoides;hl;+;;;
john122;Senecio ovatus;hl;+;;;
john122;Senecio subalpinus;hl;+;;;
john122;Solidago virgaurea;hl;+;;;
john122;Sorbus aucuparia;hl;+;;;
john122;Stellaria graminea;hl;2;;;
john122;Stellaria nemorum;hl;+;;;
john122;Thelypteris limbosperma;hl;+;;;
john122;Trifolium pratense;hl;3;;;
john122;Trifolium repens;hl;+;;;
john122;Trisetum flavescens;hl;+;;;
john122;Vaccinium myrtillus;hl;+;;;
john122;Veratrum album;hl;3;;;
john122;Veronica chamaedrys;hl;+;;;
john122;Veronica officinalis;hl;+;;;
john122;Veronica serpyllifolia;hl;+;;;
john123;Achillea millefolium agg.;hl;3;;;
john123;Adenostyles alliariae;hl;+;;;
john123;Agrostis capillaris;hl;20;;;
john123;Ajuga pyramidalis;hl;+;;;
john123;Alchemilla straminea;hl;8;;;
john123;Anthoxanthum alpinum;hl;15;;;
john123;Arnica montana;hl;3;;;
john123;Athyrium distentifolium;hl;+;;;
john123;Avenella flexuosa;hl;r;;;
john123;Bellis perennis;hl;+;;;
john123;Briza media;hl;r;;;
john123;Calamagrostis villosa;hl;r;;;
john123;Campanula barbata;hl;+;;;
john123;Campanula scheuchzeri;hl;2;;;
john123;Cardaminopsis halleri;hl;+;;;
john123;Carex leporina;hl;+;;;
john123;Carum carvi;hl;2;;;
john123;Cerastium holosteoides;hl;+;;;
john123;Crepis aurea;hl;+;;;
john123;Dactylis glomerata;hl;2;;;
john123;Deschampsia cespitosa;hl;3;;;
john123;Dryopteris dilatata;hl;r;;;
john123;Euphrasia sp.;hl;2;;;
john123;Festuca pratensis;hl;+;;;
john123;Festuca rubra agg.;hl;20;;;
john123;Gentiana punctata;hl;+;;;
john123;Gnaphalium sylvaticum;hl;+;;;
john123;Hieracium lachenalii;hl;+;;;
john123;Hieracium lactucella;hl;+;;;
john123;Hieracium murorum;hl;8;;;
john123;Homogyne alpina;hl;+;;;
john123;Hypericum maculatum;hl;+;;;
john123;Juncus filiformis;hl;+;;;
john123;Leontodon autumnalis;hl;+;;;
john123;Leontodon hispidus;hl;+;;;
john123;Leucanthemum ircutianum;hl;+;;;
john123;Luzula luzulina;hl;+;;;
john123;Luzula luzuloides;hl;+;;;
john123;Luzula multiflora;hl;+;;;
john123;Lysimachia nemorum;hl;+;;;
john123;Nardus stricta;hl;10;;;
john123;Phleum rhaeticum;hl;5;;;
john123;Plantago lanceolata;hl;+;;;
john123;Poa alpina;hl;3;;;
john123;Poa annua;hl;8;;;
john123;Poa pratensis;hl;5;;;
john123;Potentilla aurea;hl;5;;;
john123;Potentilla erecta;hl;+;;;
john123;Prunella vulgaris;hl;+;;;
john123;Pseudorchis albida;hl;r;;;
john123;Ranunculus acris;hl;15;;;
john123;Ranunculus repens;hl;15;;;
john123;Rumex alpestris;hl;3;;;
john123;Rumex alpinus;hl;15;;;
john123;Sagina saginoides;hl;+;;;
john123;Senecio ovatus;hl;+;;;
john123;Senecio subalpinus;hl;3;;;
john123;Solidago virgaurea;hl;+;;;
john123;Stellaria graminea;hl;5;;;
john123;Stellaria nemorum;hl;+;;;
john123;Thelypteris limbosperma;hl;+;;;
john123;Trifolium pratense;hl;3;;;
john123;Trifolium repens;hl;3;;;
john123;Trisetum flavescens;hl;3;;;
john123;Vaccinium myrtillus;hl;+;;;
john123;Veratrum album;hl;r;;;
john123;Veronica chamaedrys;hl;+;;;
john123;Veronica officinalis;hl;+;;;
john123;Veronica serpyllifolia;hl;+;;;
john124;Achillea millefolium agg.;hl;+;;;
john124;Adenostyles alliariae;hl;+;;;
john124;Agrostis capillaris;hl;10;;;
john124;Ajuga pyramidalis;hl;+;;;
john124;Alchemilla straminea;hl;8;;;
john124;Anthoxanthum alpinum;hl;25;;;
john124;Arnica montana;hl;2;;;
john124;Athyrium distentifolium;hl;+;;;
john124;Bellis perennis;hl;+;;;
john124;Calamagrostis villosa;hl;+;;;
john124;Calycocorsus stipitatus;hl;r;;;
john124;Campanula barbata;hl;2;;;
john124;Campanula scheuchzeri;hl;+;;;
john124;Cardaminopsis halleri;hl;+;;;
john124;Carum carvi;hl;+;;;
john124;Cerastium holosteoides;hl;+;;;
john124;Crepis aurea;hl;+;;;
john124;Dactylis glomerata;hl;+;;;
john124;Deschampsia cespitosa;hl;5;;;
john124;Dryopteris dilatata;hl;r;;;
john124;Euphrasia sp.;hl;r;;;
john124;Festuca rubra agg.;hl;20;;;
john124;Gnaphalium sylvaticum;hl;+;;;
john124;Hieracium lachenalii;hl;+;;;
john124;Hieracium lactucella;hl;+;;;
john124;Hieracium murorum;hl;7;;;
john124;Homogyne alpina;hl;+;;;
john124;Hypericum maculatum;hl;+;;;
john124;Juncus filiformis;hl;+;;;
john124;Leontodon autumnalis;hl;+;;;
john124;Leontodon helveticus;hl;7;;;
john124;Ligusticum mutellina;hl;+;;;
john124;Luzula luzuloides;hl;+;;;
john124;Luzula multiflora;hl;+;;;
john124;Nardus stricta;hl;10;;;
john124;Peucedanum ostruthium;hl;r;;;
john124;Phleum hirsutum;hl;+;;;
john124;Phleum rhaeticum;hl;10;;;
john124;Poa alpina;hl;3;;;
john124;Poa annua;hl;+;;;
john124;Poa pratensis;hl;3;;;
john124;Potentilla aurea;hl;3;;;
john124;Potentilla erecta;hl;3;;;
john124;Pseudorchis albida;hl;+;;;
john124;Ranunculus acris;hl;10;;;
john124;Ranunculus repens;hl;10;;;
john124;Rumex alpestris;hl;3;;;
john124;Rumex alpinus;hl;15;;;
john124;Sagina saginoides;hl;+;;;
john124;Senecio longifolia;hl;+;;;
john124;Senecio ovatus;hl;+;;;
john124;Senecio subalpinus;hl;+;;;
john124;Solidago virgaurea;hl;r;;;
john124;Stellaria graminea;hl;+;;;
john124;Stellaria nemorum;hl;+;;;
john124;Taraxacum officinale agg.;hl;+;;;
john124;Thelypteris limbosperma;hl;+;;;
john124;Trifolium pratense;hl;+;;;
john124;Trisetum flavescens;hl;+;;;
john124;Vaccinium myrtillus;hl;+;;;
john124;Veratrum album;hl;3;;;
john124;Veronica chamaedrys;hl;3;;;
john124;Veronica officinalis;hl;+;;;
john124;Veronica serpyllifolia;hl;+;;;
john124;Viola biflora;hl;+;;;
john13;Achillea millefolium agg.;hl;2;;;
john13;Agrostis capillaris;hl;10;;;
john13;Ajuga reptans;hl;+;;;
john13;Alchemilla glabra;hl;+;;;
john13;Alchemilla monticola;hl;10;;;
john13;Anthoxanthum alpinum;hl;5;;;
john13;Anthoxanthum odoratum;hl;5;;;
john13;Arrhenatherum elatius;hl;1;;;
john13;Cardaminopsis halleri;hl;3;;;
john13;Carex pallescens;hl;3;;;
john13;Centaurea jacea;hl;+;;;
john13;Centaurea pseudophrygia;hl;+;;;
john13;Dactylis glomerata;hl;3;;;
john13;Elymus repens;hl;+;;;
john13;Festuca rubra agg.;hl;30;;;
john13;Galeopsis sp.;hl;+;;;
john13;Gnaphalium sylvaticum;hl;+;;;
john13;Heracleum sphondylium;hl;+;;;
john13;Hieracium cymosum;hl;2;;;
john13;Holcus mollis;hl;3;;;
john13;Homogyne alpina;hl;+;;;
john13;Hypericum maculatum;hl;3;;;
john13;Leucanthemum sp.;hl;+;;;
john13;Lotus corniculatus;hl;+;;;
john13;Luzula multiflora;hl;2;;;
john13;Lychnis flos-cuculi;hl;3;;;
john13;Orchis sp.;hl;+;;;
john13;Phleum pratense;hl;+;;;
john13;Pimpinella major;hl;+;;;
john13;Plantago lanceolata;hl;3;;;
john13;Platanthera bifolia;hl;+;;;
john13;Poa pratensis;hl;2;;;
john13;Poa trivialis;hl;+;;;
john13;Potentilla erecta;hl;2;;;
john13;Ranunculus acris;hl;5;;;
john13;Ranunculus repens;hl;+;;;
john13;Rumex acetosa;hl;2;;;
john13;Rumex obtusifolius;hl;+;;;
john13;Taraxacum officinale agg.;hl;+;;;
john13;Trifolium pratense;hl;+;;;
john13;Trisetum flavescens;hl;5;;;
john13;Veronica chamaedrys;hl;8;;;
john13;Veronica officinalis;hl;10;;;
john13;Veronica serpyllifolia;hl;3;;;
john13;Vicia cracca;hl;5;;;
john13;Vicia sepium;hl;+;;;
john131;Aconitum napellus;hl;+;;;
john131;Agrostis capillaris;hl;5;;;
john131;Ajuga genevensis;hl;+;;;
john131;Antennaria dioica;hl;+;;;
john131;Anthoxanthum alpinum;hl;2;;;
john131;Anthyllis vulneraria ssp. alpestris;hl;+;;;
john131;Arnica montana;hl;3;;;
john131;Aster bellidiastrum;hl;+;;;
john131;Athyrium distentifolium;hl;+;;;
john131;Avenella flexuosa;hl;+;;;
john131;Avenula versicolor;hl;+;;;
john131;Calluna vulgaris;hl;+;;;
john131;Calycocorsus stipitatus;hl;+;;;
john131;Campanula barbata;hl;+;;;
john131;Campanula scheuchzeri;hl;+;;;
john131;Carex ferruginea;hl;+;;;
john131;Carex leporina;hl;+;;;
john131;Carex pallescens;hl;2;;;
john131;Carex sempervirens;hl;10;;;
john131;Carlina acaulis;hl;+;;;
john131;Cerastium arvense;hl;+;;;
john131;Chaerophyllum villarsii;hl;+;;;
john131;Coeloglossum viride;hl;+;;;
john131;Deschampsia cespitosa;hl;25;;;
john131;Dianthus alpinus;hl;+;;;
john131;Euphrasia sp.;hl;+;;;
john131;Festuca rubra agg.;hl;15;;;
john131;Galium anisophyllon;hl;+;;;
john131;Gentiana clusii;hl;+;;;
john131;Gentiana pannonica;hl;+;;;
john131;Gentiana verna;hl;+;;;
john131;Geum montanum;hl;10;;;
john131;Gnaphalium sylvaticum;hl;+;;;
john131;Gymnadenia conopsea;hl;+;;;
john131;Heracleum austriacum;hl;+;;;
john131;Hieracium pilosella;hl;+;;;
john131;Hippocrepis comosa;hl;+;;;
john131;Homogyne alpina;hl;10;;;
john131;Hypericum maculatum;hl;+;;;
john131;Leontodon helveticus;hl;10;;;
john131;Leucanthemum sp.;hl;+;;;
john131;Ligusticum mutellina;hl;2;;;
john131;Lotus corniculatus;hl;+;;;
john131;Luzula luzuloides;hl;+;;;
john131;Luzula multiflora;hl;2;;;
john131;Luzula sylvatica;hl;+;;;
john131;Nardus stricta;hl;15;;;
john131;Persicaria vivipara;hl;+;;;
john131;Phleum rhaeticum;hl;5;;;
john131;Phyteuma orbiculare;hl;2;;;
john131;Poa alpina;hl;+;;;
john131;Poa annua;hl;2;;;
john131;Polygala alpestris;hl;+;;;
john131;Potentilla aurea;hl;10;;;
john131;Potentilla erecta;hl;+;;;
john131;Primula elatior;hl;+;;;
john131;Pseudorchis albida;hl;+;;;
john131;Pulsatilla sp.;hl;+;;;
john131;Ranunculus nemorosus;hl;+;;;
john131;Scabiosa lucida;hl;+;;;
john131;Selaginella selaginoides;hl;+;;;
john131;Silene pusilla;hl;+;;;
john131;Soldanella alpina;hl;+;;;
john131;Solidago virgaurea;hl;+;;;
john131;Thymus pulegioides;hl;1;;;
john131;Trifolium pratense;hl;2;;;
john131;Vaccinium myrtillus;hl;+;;;
john131;Vaccinium vitis-idaea;hl;+;;;
john131;Veratrum album;hl;10;;;
john132;Agrostis capillaris;hl;5;;;
john132;Ajuga genevensis;hl;+;;;
john132;Alchemilla monticola;hl;+;;;
john132;Antennaria dioica;hl;+;;;
john132;Anthoxanthum alpinum;hl;+;;;
john132;Anthyllis vulneraria ssp. alpestris;hl;+;;;
john132;Arnica montana;hl;25;;;
john132;Aster bellidiastrum;hl;+;;;
john132;Athyrium distentifolium;hl;+;;;
john132;Avenella flexuosa;hl;2;;;
john132;Avenula versicolor;hl;2;;;
john132;Bartsia alpina;hl;+;;;
john132;Briza media;hl;+;;;
john132;Calluna vulgaris;hl;+;;;
john132;Calycocorsus stipitatus;hl;2;;;
john132;Campanula barbata;hl;5;;;
john132;Campanula scheuchzeri;hl;+;;;
john132;Carex ferruginea;hl;+;;;
john132;Carex pallescens;hl;+;;;
john132;Carex sempervirens;hl;10;;;
john132;Carlina acaulis;hl;+;;;
john132;Cerastium arvense;hl;+;;;
john132;Chaerophyllum villarsii;hl;+;;;
john132;Crepis aurea;hl;+;;;
john132;Deschampsia cespitosa;hl;25;;;
john132;Dianthus alpinus;hl;+;;;
john132;Festuca rubra agg.;hl;15;;;
john132;Galium anisophyllon;hl;+;;;
john132;Gentiana clusii;hl;+;;;
john132;Gentiana pannonica;hl;+;;;
john132;Geum montanum;hl;5;;;
john132;Gnaphalium sylvaticum;hl;+;;;
john132;Gymnadenia conopsea;hl;2;;;
john132;Heracleum austriacum;hl;+;;;
john132;Hieracium pilosella;hl;+;;;
john132;Hippocrepis comosa;hl;+;;;
john132;Homogyne alpina;hl;5;;;
john132;Hypericum maculatum;hl;+;;;
john132;Leontodon helveticus;hl;10;;;
john132;Leucanthemum sp.;hl;+;;;
john132;Ligusticum mutellina;hl;2;;;
john132;Lotus corniculatus;hl;+;;;
john132;Luzula luzuloides;hl;1;;;
john132;Luzula multiflora;hl;7;;;
john132;Luzula sylvatica;hl;+;;;
john132;Nardus stricta;hl;20;;;
john132;Phleum rhaeticum;hl;5;;;
john132;Phyteuma orbiculare;hl;+;;;
john132;Platanthera bifolia;hl;+;;;
john132;Poa alpina;hl;+;;;
john132;Poa annua;hl;+;;;
john132;Polygala alpestris;hl;+;;;
john132;Potentilla aurea;hl;10;;;
john132;Potentilla erecta;hl;2;;;
john132;Pseudorchis albida;hl;+;;;
john132;Pulsatilla sp.;hl;+;;;
john132;Selaginella selaginoides;hl;+;;;
john132;Silene pusilla;hl;+;;;
john132;Silene vulgaris;hl;+;;;
john132;Soldanella alpina;hl;+;;;
john132;Solidago virgaurea;hl;+;;;
john132;Trifolium pratense;hl;2;;;
john132;Vaccinium myrtillus;hl;+;;;
john132;Vaccinium vitis-idaea;hl;+;;;
john132;Veratrum album;hl;10;;;
john132;Veronica alpina;hl;+;;;
john133;Agrostis capillaris;hl;5;;;
john133;Ajuga genevensis;hl;+;;;
john133;Alchemilla monticola;hl;+;;;
john133;Antennaria dioica;hl;+;;;
john133;Anthoxanthum alpinum;hl;2;;;
john133;Anthyllis vulneraria ssp. alpestris;hl;+;;;
john133;Arnica montana;hl;5;;;
john133;Aster bellidiastrum;hl;+;;;
john133;Avenella flexuosa;hl;2;;;
john133;Avenula versicolor;hl;+;;;
john133;Bartsia alpina;hl;+;;;
john133;Calluna vulgaris;hl;1;;;
john133;Calycocorsus stipitatus;hl;2;;;
john133;Campanula barbata;hl;5;;;
john133;Campanula scheuchzeri;hl;+;;;
john133;Carex ferruginea;hl;+;;;
john133;Carex pallescens;hl;+;;;
john133;Carex sempervirens;hl;10;;;
john133;Carlina acaulis;hl;1;;;
john133;Cerastium arvense;hl;1;;;
john133;Chaerophyllum villarsii;hl;+;;;
john133;Coeloglossum viride;hl;+;;;
john133;Crepis aurea;hl;+;;;
john133;Deschampsia cespitosa;hl;30;;;
john133;Dianthus alpinus;hl;r;;;
john133;Festuca rubra agg.;hl;5;;;
john133;Galium anisophyllon;hl;1;;;
john133;Gentiana clusii;hl;+;;;
john133;Gentiana verna;hl;r;;;
john133;Geum montanum;hl;+;;;
john133;Gnaphalium sylvaticum;hl;+;;;
john133;Gymnadenia conopsea;hl;2;;;
john133;Heracleum austriacum;hl;+;;;
john133;Hippocrepis comosa;hl;+;;;
john133;Homogyne alpina;hl;10;;;
john133;Hypericum maculatum;hl;+;;;
john133;Leontodon helveticus;hl;10;;;
john133;Leucanthemum sp.;hl;+;;;
john133;Ligusticum mutellina;hl;+;;;
john133;Lotus corniculatus;hl;+;;;
john133;Luzula luzuloides;hl;+;;;
john133;Luzula multiflora;hl;5;;;
john133;Luzula sylvatica;hl;+;;;
john133;Nardus stricta;hl;20;;;
john133;Phleum rhaeticum;hl;5;;;
john133;Phyteuma orbiculare;hl;+;;;
john133;Pimpinella major;hl;+;;;
john133;Poa alpina;hl;+;;;
john133;Poa annua;hl;+;;;
john133;Polygala alpestris;hl;+;;;
john133;Potentilla aurea;hl;10;;;
john133;Potentilla erecta;hl;2;;;
john133;Primula elatior;hl;+;;;
john133;Pseudorchis albida;hl;r;;;
john133;Pulsatilla sp.;hl;+;;;
john133;Ranunculus nemorosus;hl;+;;;
john133;Scabiosa lucida;hl;+;;;
john133;Selaginella selaginoides;hl;r;;;
john133;Silene acaulis;hl;+;;;
john133;Silene pusilla;hl;+;;;
john133;Silene vulgaris;hl;+;;;
john133;Soldanella alpina;hl;+;;;
john133;Thymus pulegioides;hl;+;;;
john133;Trifolium pratense;hl;2;;;
john133;Vaccinium myrtillus;hl;8;;;
john133;Vaccinium vitis-idaea;hl;+;;;
john133;Veratrum album;hl;10;;;
john134;Achillea millefolium agg.;hl;+;;;
john134;Agrostis capillaris;hl;+;;;
john134;Ajuga genevensis;hl;+;;;
john134;Alchemilla monticola;hl;+;;;
john134;Anthoxanthum alpinum;hl;2;;;
john134;Anthyllis vulneraria ssp. alpestris;hl;+;;;
john134;Arnica montana;hl;5;;;
john134;Aster bellidiastrum;hl;+;;;
john134;Avenella flexuosa;hl;+;;;
john134;Briza media;hl;+;;;
john134;Calluna vulgaris;hl;+;;;
john134;Calycocorsus stipitatus;hl;+;;;
john134;Campanula barbata;hl;5;;;
john134;Campanula scheuchzeri;hl;+;;;
john134;Carex pallescens;hl;+;;;
john134;Carex sempervirens;hl;10;;;
john134;Carlina acaulis;hl;1;;;
john134;Cerastium arvense;hl;+;;;
john134;Chaerophyllum villarsii;hl;+;;;
john134;Coeloglossum viride;hl;+;;;
john134;Crepis aurea;hl;+;;;
john134;Deschampsia cespitosa;hl;30;;;
john134;Dianthus alpinus;hl;+;;;
john134;Festuca rubra agg.;hl;5;;;
john134;Galium anisophyllon;hl;1;;;
john134;Gentiana clusii;hl;+;;;
john134;Geum montanum;hl;5;;;
john134;Gnaphalium sylvaticum;hl;1;;;
john134;Gymnadenia conopsea;hl;2;;;
john134;Heracleum austriacum;hl;+;;;
john134;Homogyne alpina;hl;10;;;
john134;Hypericum maculatum;hl;+;;;
john134;Leontodon helveticus;hl;10;;;
john134;Leucanthemum sp.;hl;+;;;
john134;Ligusticum mutellina;hl;2;;;
john134;Lotus corniculatus;hl;+;;;
john134;Luzula luzuloides;hl;+;;;
john134;Luzula multiflora;hl;5;;;
john134;Luzula sylvatica;hl;+;;;
john134;Nardus stricta;hl;20;;;
john134;Phleum rhaeticum;hl;5;;;
john134;Phyteuma orbiculare;hl;1;;;
john134;Pimpinella major;hl;+;;;
john134;Poa alpina;hl;+;;;
john134;Poa annua;hl;+;;;
john134;Polygala alpestris;hl;+;;;
john134;Potentilla aurea;hl;10;;;
john134;Potentilla erecta;hl;2;;;
john134;Primula elatior;hl;+;;;
john134;Pseudorchis albida;hl;+;;;
john134;Pulsatilla sp.;hl;+;;;
john134;Rumex alpestris;hl;+;;;
john134;Silene acaulis;hl;+;;;
john134;Silene pusilla;hl;+;;;
john134;Silene vulgaris;hl;+;;;
john134;Thymus pulegioides;hl;+;;;
john134;Trifolium pratense;hl;2;;;
john134;Vaccinium myrtillus;hl;8;;;
john134;Veratrum album;hl;10;;;
john134;Veronica chamaedrys;hl;+;;;
john14;Achillea millefolium agg.;hl;2;;;
john14;Agrostis capillaris;hl;10;;;
john14;Ajuga reptans;hl;1;;;
john14;Alchemilla glabra;hl;+;;;
john14;Alchemilla monticola;hl;10;;;
john14;Anthoxanthum alpinum;hl;5;;;
john14;Anthoxanthum odoratum;hl;5;;;
john14;Arrhenatherum elatius;hl;1;;;
john14;Campanula patula;hl;+;;;
john14;Cardaminopsis halleri;hl;3;;;
john14;Carex pallescens;hl;3;;;
john14;Centaurea pseudophrygia;hl;5;;;
john14;Cerastium holosteoides;hl;+;;;
john14;Chaerophyllum villarsii;hl;+;;;
john14;Crepis aurea;hl;+;;;
john14;Cynosurus cristatus;hl;+;;;
john14;Dactylis glomerata;hl;+;;;
john14;Deschampsia cespitosa;hl;+;;;
john14;Elymus repens;hl;+;;;
john14;Festuca rubra agg.;hl;30;;;
john14;Heracleum sphondylium;hl;+;;;
john14;Hieracium cymosum;hl;2;;;
john14;Hieracium sp.;hl;+;;;
john14;Holcus mollis;hl;3;;;
john14;Hypericum maculatum;hl;3;;;
john14;Leucanthemum sp.;hl;+;;;
john14;Lotus corniculatus;hl;+;;;
john14;Luzula multiflora;hl;2;;;
john14;Lychnis flos-cuculi;hl;3;;;
john14;Phleum pratense;hl;+;;;
john14;Plantago lanceolata;hl;8;;;
john14;Platanthera bifolia;hl;2;;;
john14;Poa pratensis;hl;1;;;
john14;Poa trivialis;hl;+;;;
john14;Potentilla erecta;hl;2;;;
john14;Ranunculus acris;hl;5;;;
john14;Ranunculus repens;hl;+;;;
john14;Rumex acetosa;hl;8;;;
john14;Rumex obtusifolius;hl;+;;;
john14;Taraxacum officinale agg.;hl;+;;;
john14;Trifolium pratense;hl;+;;;
john14;Trisetum flavescens;hl;+;;;
john14;Veronica chamaedrys;hl;5;;;
john14;Veronica officinalis;hl;5;;;
john14;Vicia cracca;hl;5;;;
john141;Acinos alpinus;hl;+;;;
john141;Ajuga reptans;hl;+;;;
john141;Alchemilla anisiaca;hl;+;;;
john141;Alchemilla glabra;hl;+;;;
john141;Anemone narcissiflora;hl;+;;;
john141;Anthoxanthum alpinum;hl;3;;;
john141;Anthyllis vulneraria ssp. alpestris;hl;5;;;
john141;Betonica alopecuros;hl;3;;;
john141;Briza media;hl;2;;;
john141;Buphthalmum salicifolium;hl;5;;;
john141;Carduus defloratus;hl;+;;;
john141;Carex sempervirens;hl;30;;;
john141;Carlina acaulis;hl;2;;;
john141;Carum carvi;hl;+;;;
john141;Centaurea montana;hl;+;;;
john141;Centaurea pseudophrygia;hl;3;;;
john141;Cerastium arvense;hl;+;;;
john141;Chaerophyllum villarsii;hl;10;;;
john141;Coeloglossum viride;hl;+;;;
john141;Crepis aurea;hl;2;;;
john141;Crepis pontana;hl;+;;;
john141;Dactylis glomerata;hl;+;;;
john141;Daphne mezereum;hl;+;;;
john141;Erica carnea;hl;+;;;
john141;Euphorbia austriaca;hl;+;;;
john141;Festuca norica;hl;+;;;
john141;Festuca rubra agg.;hl;+;;;
john141;Galium anisophyllon;hl;+;;;
john141;Gentiana pannonica;hl;+;;;
john141;Globularia nudicaulis;hl;+;;;
john141;Gymnadenia conopsea;hl;1;;;
john141;Helianthemum grandiflorum;hl;2;;;
john141;Helictotrichon parlatorei;hl;30;;;
john141;Helleborus niger;hl;10;;;
john141;Heracleum austriacum;hl;+;;;
john141;Leontodon hispidus;hl;8;;;
john141;Leucanthemum adustum;hl;+;;;
john141;Lilium martagon;hl;+;;;
john141;Linum catharticum;hl;+;;;
john141;Listera ovata;hl;+;;;
john141;Lotus corniculatus;hl;3;;;
john141;Luzula campestris;hl;+;;;
john141;Luzula sylvatica;hl;+;;;
john141;Mercurialis perennis;hl;1;;;
john141;Meum athamanticum;hl;3;;;
john141;Nardus stricta;hl;3;;;
john141;Nigritella rubra;hl;+;;;
john141;Orchis mascula;hl;+;;;
john141;Pedicularis foliosa;hl;+;;;
john141;Persicaria vivipara;hl;+;;;
john141;Phleum hirsutum;hl;+;;;
john141;Phleum rhaeticum;hl;+;;;
john141;Phyteuma orbiculare;hl;+;;;
john141;Picea abies;hl;2;;;
john141;Pimpinella major;hl;3;;;
john141;Plantago lanceolata;hl;+;;;
john141;Poa alpina;hl;+;;;
john141;Poa annua;hl;+;;;
john141;Polygonatum verticillatum;hl;+;;;
john141;Ranunculus lanuginosus;hl;+;;;
john141;Ranunculus nemorosus;hl;+;;;
john141;Rhinanthus sp.;hl;+;;;
john141;Rumex alpestris;hl;+;;;
john141;Scabiosa lucida;hl;+;;;
