plot,abbr,layer,cov,height,comment
1112104,phra aust,hl,3,100,
1112104,sagi proc,hl,+,0,few individuals (r)
1112104,sali cine plus auri,hl,+,0,few individuals (r)
1112104,soli giga,hl,1b,110,
1112104,sonc arve arve,hl,+,0,few individuals (r)
1112104,sper rubr,hl,+,0,few individuals (r)
1112104,tuss farf,hl,1b,0,
1112104,barb ungu,ml,1a,0,
1112104,bryu arge,ml,+,0,
1112104,cera purp,ml,+,0,
1112104,dicr vari,ml,1a,0,
1112105,alnu glut,hl,1a,0,
1112105,cera holo,hl,+,0,few individuals (r)
1112105,cirs arve,hl,1a,0,
1112105,desc cesp,hl,1a,0,
1112105,equi palu,hl,+,20,few individuals (r)
1112105,phra aust,hl,5,110,
1112105,plan majo majo,hl,+,0,few individuals (r)
1112105,poly avic slat,hl,+,0,few individuals (r)
1112105,sagi proc,hl,+,0,
1112105,soli giga,hl,1a,90,
1112105,sper rubr,hl,+,0,
1112105,tara sect rude,hl,+,0,
1112105,bryu arge,ml,1a,0,
1112105,cera purp,ml,1a,0,
1113103,betu pend plus pube,hl,+,0,few individuals (r)
1113103,cala epig,hl,+,20,few individuals (r)
1113103,junc arti,hl,+,0,few individuals (r)
1113103,phra aust,hl,+,25,few individuals (r)
1113103,sagi proc,hl,+,0,few individuals (r)
1113104,alnu glut,hl,+,0,few individuals (r)
1113104,cala epig,hl,+,15,few individuals (r)
1113104,epil parv,hl,+,0,few individuals (r)
1113104,hypo radi,hl,+,0,few individuals (r)
1113104,junc arti,hl,+,0,few individuals (r)
1113104,junc effu,hl,1a,50,
1113104,lepi camp,hl,+,0,few individuals (r)
1113104,pinu sylv,hl,+,0,few individuals (r)
1113104,soli giga,hl,+,20,few individuals (r)
1113104,tara sect rude,hl,+,0,few individuals (r)
1113104,bryu arge,ml,+,0,few individuals (r)
1114103,cala epig,hl,+,80,few individuals (r)
1114104,phra aust,hl,+,20,few individuals (r)
1114104,sali purp,hl,+,0,few individuals (r)
1114104,bryu arge,ml,+,0,few individuals (r)
1115102,cala epig,hl,+,5,few individuals (r)
1115102,dros rotu,hl,+,0,few individuals (r)
1115102,epil cili cili,hl,+,0,few individuals (r)
1115102,junc arti,hl,+,0,few individuals (r)
1115102,phra aust,hl,+,20,few individuals (r)
1115102,soli giga,hl,+,20,few individuals (r)
1115103,betu pend plus pube,hl,+,0,few individuals (r)
1115103,bide cern,hl,+,0,few individuals (r)
1115103,junc effu,hl,+,20,few individuals (r)
1115103,leer oryz,hl,+,15,few individuals (r)
1115103,phra aust,hl,1a,40,
1115103,soli giga,hl,+,10,few individuals (r)
1115103,tara sect rude,hl,+,0,few individuals (r)
1116102,betu pend plus pube,hl,+,0,few individuals (r)
1116102,cala epig,hl,+,20,few individuals (r)
1116102,sper rubr,hl,+,0,few individuals (r)
1116103,alnu glut,hl,+,0,few individuals (r)
1117101,phra aust,hl,+,20,few individuals (r)
1117101,sali purp,hl,+,0,few individuals (r)
1117102,betu pend plus pube,hl,+,0,few individuals (r)
1117102,care pseu,hl,+,15,few individuals (r)
1118101,cala epig,hl,+,10,few individuals (r)
1118101,pinu sylv,hl,+,0,few individuals (r)
1118102,cala epig,hl,+,20,
1118102,pinu sylv,hl,+,0,few individuals (r)
1118102,sali cine plus auri,hl,+,0,few individuals (r)
1119100,desc cesp,hl,1b,0,
1119100,epil cili cili,hl,+,0,few individuals (r)
1119100,holc lana,hl,+,0,
1119100,hype perf,hl,+,0,
1119100,hypo radi,hl,+,0,few individuals (r)
1119100,lepi camp,hl,+,0,few individuals (r)
1119100,pers hydr,hl,+,0,few individuals (r)
1119100,phra aust,hl,1a,70,
1119100,pote norv,hl,+,20,few individuals (r)
1119100,sagi proc,hl,+,0,few individuals (r)
1119100,soli giga,hl,4,80,
1119100,vero arve,hl,+,0,few individuals (r)
1119100,barb ungu,ml,1a,0,
1119100,bryu arge,ml,+,0,
1119100,call cusp,ml,+,0,
1119100,cera purp,ml,1a,0,
1119100,dicr vari,ml,1a,0,
1119101,cala epig,hl,3,80,
1119101,cirs arve,hl,1a,0,
1119101,desc cesp,hl,1a,0,
1119101,pers hydr,hl,1a,0,
1119101,pers mino,hl,+,0,few individuals (r)
1119101,phra aust,hl,4,130,
1119101,soli giga,hl,2b,110,
1119101,call cusp,ml,1a,0,
1120100,cala epig,hl,1a,90,
1120100,cirs arve,hl,1b,0,
1120100,desc cesp,hl,1b,0,
1120100,epil parv,hl,+,0,few individuals (r)
1120100,equi palu,hl,+,40,few individuals (r)
1120100,gali albu,hl,+,0,
1120100,hype perf,hl,+,0,few individuals (r)
1120100,hype tetr,hl,+,0,few individuals (r)
1120100,junc arti,hl,+,0,few individuals (r)
1120100,junc tenu,hl,+,0,few individuals (r)
1120100,leer oryz,hl,1a,15,
1120100,lepi camp,hl,+,0,few individuals (r)
1120100,pers hydr,hl,+,0,
1120100,pers mino,hl,+,0,few individuals (r)
1120100,phra aust,hl,2b,110,
1120100,pice abie,hl,+,0,few individuals (r)
1120100,poly avic slat,hl,+,0,few individuals (r)
1120100,sagi proc,hl,+,0,few individuals (r)
1120100,soli giga,hl,3,120,
1120100,brac rivu,ml,+,0,few individuals (r)
1120100,brac ruta,ml,1a,0,
1120100,bryu arge,ml,1a,0,
1120100,cera purp,ml,1a,0,
1120100,dicr vari,ml,+,0,
1120101,cirs arve,hl,1a,0,
1120101,cirs palu,hl,+,0,
1120101,desc cesp,hl,1a,0,
1120101,epil parv,hl,+,0,
1120101,junc tenu,hl,+,0,
1120101,pers hydr,hl,1a,0,
1120101,pers mino,hl,+,0,
1120101,phra aust,hl,2b,120,
1120101,poa prat,hl,+,0,few individuals (r)
1120101,poly avic slat,hl,+,0,
1120101,sali capr,hl,+,0,few individuals (r)
1120101,soli giga,hl,3,110,
1120101,tuss farf,hl,+,0,
1120101,bryu arge,ml,+,0,
1120101,call cusp,ml,+,0,
1120101,dicr vari,ml,+,0,
1120153,cala epig,hl,+,10,few individuals (r)
1120153,care pseu,hl,+,15,
1120153,gali palu palu,hl,+,0,few individuals (r)
1120153,lyco euro euro,hl,+,20,
1120153,soli giga,hl,+,15,
1120153,bryu arge,ml,+,0,few individuals (r)
1120154,betu pend plus pube,hl,+,0,few individuals (r)
1120154,cala epig,hl,+,20,
1120154,care oede,hl,+,0,few individuals (r)
1120154,equi palu,hl,+,15,few individuals (r)
1120154,gali palu palu,hl,+,0,few individuals (r)
1120154,lyco euro euro,hl,+,5,few individuals (r)
1120154,bryu arge,ml,+,0,
1121099,agro stol,hl,+,0,
1121099,betu pend plus pube,hl,+,0,
1121099,cala epig,hl,2b,0,
1121099,cirs arve,hl,+,0,
1121099,cirs palu,hl,+,0,few individuals (r)
1121099,epil cili cili,hl,+,0,few individuals (r)
1121099,holc lana,hl,+,0,
1121099,hype perf,hl,1a,0,
1121099,junc effu,hl,+,25,
1121099,junc tenu,hl,+,0,
1121099,plan majo majo,hl,+,0,few individuals (r)
1121099,pote norv,hl,+,10,few individuals (r)
1121099,prun vulg,hl,+,0,
1121099,sali purp,hl,+,0,few individuals (r)
1121099,soli giga,hl,3,40,
1121099,tara sect rude,hl,+,0,few individuals (r)
1121099,bryu arge,ml,+,0,few individuals (r)
1121099,cera purp,ml,+,0,
1121099,dicr vari,ml,1a,0,
1121100,cala epig,hl,1b,50,
1121100,desc cesp,hl,1a,0,
1121100,gali palu palu,hl,+,0,few individuals (r)
1121100,hype perf,hl,+,0,
1121100,junc tenu,hl,+,0,
1121100,poa triv,hl,+,0,few individuals (r)
1121100,soli giga,hl,2a,45,
1121100,tara sect rude,hl,+,0,few individuals (r)
1121100,vero arve,hl,+,0,few individuals (r)
1121100,barb ungu,ml,1a,0,
1121100,bryu arge,ml,+,0,few individuals (r)
1121100,dicr vari,ml,+,0,
1121153,bide cern,hl,+,0,few individuals (r)
1121153,cala epig,hl,+,30,
1121153,equi palu,hl,+,15,
1121153,gali palu palu,hl,+,0,few individuals (r)
1121153,junc arti,hl,+,0,few individuals (r)
1121153,lepi camp,hl,+,0,few individuals (r)
1121153,lyco euro euro,hl,+,5,few individuals (r)
1121153,moli caer,hl,+,0,few individuals (r)
1121153,pote norv,hl,+,5,few individuals (r)
1121153,soli giga,hl,+,10,few individuals (r)
1121153,bryu arge,ml,+,0,few individuals (r)
1121154,cala epig,hl,+,30,
1121154,care oede,hl,+,0,
1121154,care pilu pilu,hl,+,0,few individuals (r)
1121154,desc cesp,hl,+,0,few individuals (r)
1121154,lepi camp,hl,+,0,few individuals (r)
1121154,linu cath,hl,+,0,few individuals (r)
1121154,moli caer,hl,1b,0,
1121154,phra aust,hl,1a,90,
1121154,pote erec,hl,+,5,
1121154,prun vulg,hl,+,0,
1121154,soli giga,hl,+,50,
1121154,thym pule pule,hl,1a,0,
1122099,betu pend plus pube,hl,+,0,
1122099,cala epig,hl,3,60,
1122099,cirs arve,hl,1a,0,
1122099,cirs vulg,hl,+,0,
1122099,desc cesp,hl,1a,0,
1122099,epil cili cili,hl,+,0,
1122099,eupa cann,hl,+,0,
1122099,hype perf,hl,+,0,
1122099,junc effu,hl,1a,45,
1122099,phra aust,hl,1a,100,
1122099,sali purp,hl,+,0,
1122099,soli giga,hl,3,70,
1122099,bryu spec ies,ml,+,0,
1122100,cala epig,hl,1a,40,
1122100,desc cesp,hl,1a,0,
1122100,equi palu,hl,+,15,few individuals (r)
1122100,hype perf,hl,+,0,
1122100,junc effu,hl,+,20,few individuals (r)
1122100,junc tenu,hl,+,0,few individuals (r)
1122100,poa triv,hl,+,0,few individuals (r)
1122100,soli giga,hl,1b,40,
1122100,vero arve,hl,+,0,few individuals (r)
1122100,barb ungu,ml,1a,0,
1122100,cera purp,ml,+,0,few individuals (r)
1122100,dicr vari,ml,1a,0,
1122152,cala epig,hl,+,20,
1122152,care oede,hl,1b,0,
1122152,care pall,hl,+,0,few individuals (r)
1122152,junc arti,hl,+,0,few individuals (r)
1122152,moli caer,hl,+,0,few individuals (r)
1122152,pers hydr,hl,1b,0,
1122152,pers miti,hl,+,0,
1122152,prun vulg,hl,+,0,few individuals (r)
1122152,sali cine plus auri,hl,+,0,few individuals (r)
1122152,soli giga,hl,1a,5,
1122152,cera purp,ml,+,0,few individuals (r)
1122152,funa hygr,ml,+,0,few individuals (r)
1122153,cirs palu,hl,+,0,few individuals (r)
1122153,desc cesp,hl,+,0,few individuals (r)
1122153,gali palu palu,hl,+,0,few individuals (r)
1122153,junc arti,hl,+,0,few individuals (r)
1122153,leer oryz,hl,+,5,few individuals (r)
1122153,lepi camp,hl,+,0,few individuals (r)
1122153,lyco euro euro,hl,+,5,
1122153,pers hydr,hl,+,0,
1122153,pers miti,hl,+,0,
1122153,prun vulg,hl,+,0,few individuals (r)
1122153,soli giga,hl,1a,10,
1122153,thym pule pule,hl,+,0,few individuals (r)
1122153,bryu arge,ml,+,0,few individuals (r)
1122153,camp flex,ml,1a,0,
1122153,dicr cerv,ml,+,0,
1122153,poly form,ml,+,0,
1123152,cala epig,hl,+,10,few individuals (r)
1123152,care oede,hl,+,0,few individuals (r)
1123152,care pseu,hl,+,5,
1123152,epil cili cili,hl,+,0,few individuals (r)
1123152,gali palu palu,hl,+,0,few individuals (r)
1123152,junc arti,hl,+,0,few individuals (r)
1123152,lepi camp,hl,+,0,few individuals (r)
1123152,lyco euro euro,hl,+,5,few individuals (r)
1123152,moli caer,hl,+,0,few individuals (r)
1123152,pers hydr,hl,+,0,
1123152,pers miti,hl,+,0,
1123152,prun vulg,hl,+,0,few individuals (r)
1123152,rori palu,hl,+,0,few individuals (r)
1123152,sagi proc,hl,+,0,few individuals (r)
1123152,soli giga,hl,2b,10,
1123152,bryu arge,ml,+,0,few individuals (r)
1123153,cala epig,hl,1a,40,
1123153,care elon,hl,+,0,few individuals (r)
1123153,care oede,hl,+,0,few individuals (r)
1123153,care pseu,hl,+,15,
1123153,gali palu palu,hl,+,0,
1123153,junc arti,hl,1a,0,
1123153,junc effu,hl,+,55,few individuals (r)
1123153,junc tenu,hl,+,0,few individuals (r)
1123153,lyco euro euro,hl,+,20,
1123153,moli caer,hl,+,0,few individuals (r)
1123153,pers miti,hl,1a,0,
1123153,pote norv,hl,+,25,few individuals (r)
1123153,prun vulg,hl,+,0,
1123153,rori palu,hl,+,0,few individuals (r)
1123153,sagi proc,hl,+,0,few individuals (r)
1123153,soli giga,hl,1a,35,
1123153,thym pule pule,hl,+,0,few individuals (r)
1123153,bryu arge,ml,+,0,few individuals (r)
1123153,call cusp,ml,+,0,few individuals (r)
1123153,ricc flui,ml,+,0,few individuals (r)
1124151,cala epig,hl,1a,40,
1124151,junc tenu,hl,+,0,few individuals (r)
1124151,lyco euro euro,hl,+,5,
1124151,pers hydr,hl,+,0,
1124151,soli giga,hl,+,40,
1124151,bryu arge,ml,+,0,few individuals (r)
1124152,cala epig,hl,1a,30,
1124152,junc arti,hl,+,0,few individuals (r)
1124152,pers hydr,hl,+,0,few individuals (r)
1124152,pers miti,hl,+,0,few individuals (r)
1124152,pote norv,hl,+,15,few individuals (r)
1124152,sali purp,hl,+,0,few individuals (r)
1124152,barb ungu,ml,1a,0,
1124152,bryu arge,ml,+,0,
1125151,cala epig,hl,+,30,
1125151,care cane cane,hl,+,0,few individuals (r)
1125151,care pseu,hl,+,10,few individuals (r)
1125151,desc cesp,hl,+,0,few individuals (r)
1125151,junc tenu,hl,+,0,few individuals (r)
1125151,lyco euro euro,hl,+,5,few individuals (r)
1125151,rori sylv,hl,+,0,few individuals (r)
1125151,soli giga,hl,+,10,few individuals (r)
1125151,bryu arge,ml,+,0,few individuals (r)
1125152,cala epig,hl,+,30,
1125152,care pseu,hl,+,10,few individuals (r)
1125152,lepi camp,hl,+,0,few individuals (r)
1125152,pote norv,hl,+,35,few individuals (r)
1125152,soli giga,hl,+,10,few individuals (r)
1125152,bryu arge,ml,+,0,
1126150,care cane cane,hl,+,0,few individuals (r)
1126150,cirs palu,hl,+,0,few individuals (r)
1126150,desc cesp,hl,+,0,few individuals (r)
1126150,dros inte,hl,+,0,few individuals (r)
1126150,epil cili cili,hl,+,0,few individuals (r)
1126150,gali palu palu,hl,+,0,
1126150,junc effu,hl,1a,80,
1126150,lyco euro euro,hl,+,30,
1126150,pers hydr,hl,+,0,few individuals (r)
1126150,phra aust,hl,4,100,
1126150,sagi proc,hl,+,0,few individuals (r)
1126150,soli giga,hl,3,90,
1126150,call cusp,ml,1a,0,
1126150,ricc flui,ml,+,0,
1126151,cala epig,hl,+,30,
1126151,care cane cane,hl,+,0,few individuals (r)
1126151,care oede,hl,+,0,
1126151,eleo mami aust,hl,+,0,few individuals (r)
1126151,epil cili cili,hl,+,0,few individuals (r)
1126151,gali cili,hl,+,0,few individuals (r)
1126151,gali palu palu,hl,+,0,few individuals (r)
1126151,lyco euro euro,hl,1a,10,
1126151,phra aust,hl,3,80,
1126151,pote norv,hl,+,10,few individuals (r)
1126151,sali cine plus auri,hl,+,0,few individuals (r)
1126151,soli giga,hl,+,50,
1126151,bryu arge,ml,+,0,few individuals (r)
1126151,call cusp,ml,+,0,
1127150,care rost,hl,+,60,
1127150,eleo mami aust,hl,1a,0,
1127150,gali palu palu,hl,+,0,
1127150,junc arti,hl,1a,0,
1127150,junc effu,hl,2a,80,
1127150,leer oryz,hl,+,25,
1127150,lyco euro euro,hl,+,30,few individuals (r)
1127150,pers hydr,hl,+,0,
1127150,phra aust,hl,1b,120,
1127150,pote norv,hl,+,35,few individuals (r)
1127150,soli giga,hl,+,90,
1127151,care oede,hl,+,0,
1127151,eleo mami aust,hl,+,0,few individuals (r)
1127151,gali palu palu,hl,+,0,few individuals (r)
1127151,junc arti,hl,+,0,
1127151,lyco euro euro,hl,+,5,
1127151,pers miti,hl,+,0,few individuals (r)
1127151,phra aust,hl,+,80,
1127151,pote norv,hl,+,10,few individuals (r)
1127151,sali purp,hl,+,0,few individuals (r)
1127151,soli giga,hl,+,50,few individuals (r)
1127151,bryu arge,ml,+,0,few individuals (r)
1128149,cala epig,hl,+,60,
1128149,care pseu,hl,1a,55,
1128149,care rost,hl,3,70,
1128149,care vesi,hl,1b,0,
1128149,epil cili cili,hl,+,0,few individuals (r)
1128149,equi palu,hl,1b,45,
1128149,gali palu palu,hl,2b,0,
1128149,junc arti,hl,1a,0,
1128149,lyco euro euro,hl,1a,40,
1128149,pers hydr,hl,1b,0,
1128149,phra aust,hl,2b,80,
1128149,pote norv,hl,+,45,
1128149,soli giga,hl,1b,80,
1128149,call cusp,ml,1b,0,
1128149,ricc flui,ml,+,0,
1128150,care rost,hl,3,80,
1128150,junc arti,hl,1a,0,
1128150,junc effu,hl,+,60,few individuals (r)
1128150,lyco euro euro,hl,1b,45,
1128150,pers hydr,hl,+,0,
1128150,pers miti,hl,+,0,few individuals (r)
1128150,pote norv,hl,1a,25,
1128150,scut gale,hl,+,0,
1128150,soli giga,hl,1a,65,
1128150,call cusp,ml,+,0,
1128150,ricc flui,ml,+,0,few individuals (r)
1129149,bide cern,hl,+,0,few individuals (r)
1129149,care oede,hl,+,0,
1129149,care pseu,hl,+,35,
1129149,care rost,hl,1a,60,
1129149,care vesi,hl,1a,0,
1129149,equi palu,hl,3,50,
1129149,gali palu palu,hl,2a,0,
1129149,junc effu,hl,+,50,few individuals (r)
1129149,lyco euro euro,hl,1a,30,
1129149,pote norv,hl,1a,40,
1129149,rori palu,hl,+,0,few individuals (r)
1129149,sali cine plus auri,hl,1a,0,
1129149,sali purp,hl,+,0,few individuals (r)
1129149,bryu arge,ml,+,0,
1129149,call cusp,ml,2b,0,
1129150,care rost,hl,2b,60,
1129150,equi palu,hl,1b,40,
1129150,gali palu palu,hl,+,0,few individuals (r)
1129150,junc arti,hl,1a,0,
1129150,moli caer,hl,+,0,few individuals (r)
1129150,phra aust,hl,1b,80,
1129150,pote norv,hl,+,30,
1129150,bryu arge,ml,+,0,
1129150,call cusp,ml,+,0,
1130148,cala epig,hl,1a,40,
1130148,care oede,hl,+,0,few individuals (r)
1130148,care pseu,hl,+,15,
1130148,gali palu palu,hl,+,0,few individuals (r)
1130148,junc arti,hl,+,0,few individuals (r)
1130148,ment aqua,hl,+,0,few individuals (r)
1130148,pers hydr,hl,+,0,few individuals (r)
1130148,pote norv,hl,+,15,few individuals (r)
1130148,sagi proc,hl,+,0,
1130148,sali alba,hl,+,0,few individuals (r)
1130148,sali cine plus auri,hl,+,0,
1130148,soli giga,hl,+,15,few individuals (r)
1130148,bryu arge,ml,+,0,
1130148,cera purp,ml,+,0,few individuals (r)
1130149,cala epig,hl,+,25,
1130149,care cane cane,hl,+,0,few individuals (r)
1130149,care oede,hl,+,0,few individuals (r)
1130149,care pseu,hl,+,20,few individuals (r)
1130149,equi palu,hl,+,15,few individuals (r)
1130149,gali palu palu,hl,+,0,few individuals (r)
1130149,junc arti,hl,+,0,few individuals (r)
1130149,lyco euro euro,hl,+,15,
1130149,poa annu,hl,+,0,few individuals (r)
1130149,pote norv,hl,+,10,few individuals (r)
1130149,sali alba,hl,+,0,few individuals (r)
1130149,sali cine plus auri,hl,+,0,few individuals (r)
1130149,soli giga,hl,+,25,
1130149,bryu arge,ml,+,0,
1130149,cera purp,ml,+,0,few individuals (r)
1131148,aren serp,hl,+,0,few individuals (r)
1131148,cala epig,hl,1a,40,
1131148,care pseu,hl,+,15,
1131148,epil cili cili,hl,+,0,few individuals (r)
1131148,gali palu palu,hl,+,0,few individuals (r)
1131148,junc arti,hl,+,0,few individuals (r)
1131148,junc tenu,hl,+,0,few individuals (r)
1131148,lyco euro euro,hl,+,20,
1131148,pote norv,hl,+,10,few individuals (r)
1131148,rori palu,hl,+,0,few individuals (r)
1131148,sali cine plus auri,hl,+,0,few individuals (r)
1131148,soli giga,hl,+,20,
1131148,cera purp,ml,+,0,few individuals (r)
1131149,cala epig,hl,+,30,
1131149,epil cili cili,hl,+,0,few individuals (r)
1131149,junc arti,hl,+,0,few individuals (r)
1131149,junc effu,hl,+,25,few individuals (r)
1131149,junc tenu,hl,+,0,few individuals (r)
1131149,pers hydr,hl,+,0,
1131149,soli giga,hl,+,10,few individuals (r)
1131149,bryu arge,ml,+,0,
1131149,cera purp,ml,+,0,
1132147,cala epig,hl,1a,40,
1132147,care pseu,hl,+,30,few individuals (r)
1132147,care rost,hl,+,50,few individuals (r)
1132147,gali palu palu,hl,1a,0,
1132147,junc arti,hl,+,0,
1132147,lyco euro euro,hl,+,20,
1132147,phra aust,hl,2b,90,
1132147,pote norv,hl,1a,20,
1132147,rori palu,hl,+,0,few individuals (r)
1132147,soli giga,hl,+,40,
1132147,bryu arge,ml,+,0,few individuals (r)
1132147,call cusp,ml,+,0,
1132147,cera purp,ml,+,0,few individuals (r)
1132148,alop aequ,hl,+,0,few individuals (r)
1132148,cala epig,hl,1a,40,
1132148,epil cili cili,hl,+,0,few individuals (r)
1132148,erig cana,hl,+,0,few individuals (r)
1132148,junc arti,hl,+,0,few individuals (r)
1132148,pers hydr,hl,+,0,
1132148,pers miti,hl,+,0,few individuals (r)
1132148,pote norv,hl,+,5,few individuals (r)
1132148,rori palu,hl,+,0,few individuals (r)
1132148,sagi proc,hl,+,0,few individuals (r)
1132148,sali cine plus auri,hl,+,0,few individuals (r)
1132148,sali purp,hl,+,0,few individuals (r)
1132148,soli giga,hl,+,15,
1132148,bryu arge,ml,+,0,
1132148,call cusp,ml,+,0,few individuals (r)
1132148,cera purp,ml,+,0,
1133147,betu pend plus pube,hl,+,0,
1133147,cala epig,hl,1b,50,
1133147,care pseu,hl,+,15,few individuals (r)
1133147,epil cili cili,hl,+,0,few individuals (r)
1133147,gali palu palu,hl,+,0,few individuals (r)
1133147,junc arti,hl,+,0,
1133147,junc tenu,hl,+,0,few individuals (r)
1133147,lepi camp,hl,+,0,few individuals (r)
1133147,lyco euro euro,hl,+,10,few individuals (r)
1133147,pers hydr,hl,+,0,few individuals (r)
1133147,phra aust,hl,+,60,
1133147,poa prat,hl,+,0,few individuals (r)
1133147,poly avic slat,hl,+,0,few individuals (r)
1133147,popu trem,hl,+,0,few individuals (r)
1133147,pote norv,hl,1a,30,
1133147,rori palu,hl,+,0,few individuals (r)
1133147,sali alba,hl,+,0,
1133147,bryu arge,ml,+,0,
1133147,cera purp,ml,+,0,few individuals (r)
1133148,betu pend plus pube,hl,+,0,few individuals (r)
1133148,cala epig,hl,1a,50,
1133148,care cane cane,hl,+,0,few individuals (r)
1133148,care pseu,hl,+,10,few individuals (r)
1133148,gali palu palu,hl,+,0,few individuals (r)
1133148,junc arti,hl,+,0,
1133148,lyco euro euro,hl,1a,5,
1133148,poa annu,hl,+,0,few individuals (r)
1133148,popu trem,hl,+,0,few individuals (r)
1133148,pote norv,hl,+,15,
1133148,rori palu,hl,+,0,few individuals (r)
1133148,sagi proc,hl,+,0,few individuals (r)
1133148,sali alba,hl,+,0,few individuals (r)
1133148,sali cine plus auri,hl,+,0,
1133148,sali purp,hl,+,0,few individuals (r)
1133148,soli giga,hl,+,35,few individuals (r)
1133148,thym pule pule,hl,+,0,few individuals (r)
1133148,bryu arge,ml,+,0,few individuals (r)
1133148,camp intr,ml,+,0,few individuals (r)
1141144,care pseu,hl,+,20,
1141144,care rost,hl,1b,45,
1141144,epil cili cili,hl,+,0,
1141144,gali palu palu,hl,1a,0,
1141144,junc arti,hl,+,0,few individuals (r)
1141144,junc effu,hl,+,45,few individuals (r)
1141144,phra aust,hl,2b,80,
1141144,pote norv,hl,1a,40,
1141144,soli giga,hl,+,45,few individuals (r)
1141144,trif repe repe,hl,+,0,few individuals (r)
1141144,bryu arge,ml,1a,0,
1141144,cera purp,ml,1a,0,
1141145,cala epig,hl,+,10,
1141145,care oede,hl,+,0,
1141145,gali palu palu,hl,+,0,
1141145,lyco euro euro,hl,1a,25,
1141145,moli caer,hl,+,0,
1141145,phra aust,hl,1b,70,
1141145,thym pule pule,hl,+,0,few individuals (r)
1141145,bryu arge,ml,+,0,
1141145,bryu spec ies,ml,+,0,few individuals (r)
1141145,cera purp,ml,+,0,few individuals (r)
1142144,cala epig,hl,+,20,few individuals (r)
1142144,care pseu,hl,+,15,few individuals (r)
1142144,epil cili cili,hl,+,0,few individuals (r)
1142144,gali palu palu,hl,+,0,few individuals (r)
1142144,junc arti,hl,+,0,
1142144,junc effu,hl,1a,40,
1142144,leer oryz,hl,+,10,few individuals (r)
1142144,lyco euro euro,hl,+,15,
1142144,phra aust,hl,+,40,
1142144,poa triv,hl,+,0,few individuals (r)
1142144,pote norv,hl,+,20,few individuals (r)
1142144,soli giga,hl,+,25,few individuals (r)
1142144,thym pule pule,hl,+,0,few individuals (r)
1142144,bryu arge,ml,1a,0,
1142144,cera purp,ml,+,0,few individuals (r)
1142145,cala epig,hl,+,15,
1142145,care pseu,hl,+,10,few individuals (r)
1142145,epil cili cili,hl,+,0,few individuals (r)
1142145,gali palu palu,hl,+,0,few individuals (r)
1142145,luzu mult,hl,+,0,
1142145,lyco euro euro,hl,+,20,
1142145,phra aust,hl,+,20,few individuals (r)
1142145,pote norv,hl,+,15,
1142145,soli giga,hl,+,35,few individuals (r)
1142145,thym pule pule,hl,1a,0,
1142145,bryu arge,ml,+,0,
1143143,cala epig,hl,+,30,
1143143,care cane cane,hl,+,0,few individuals (r)
1143143,care pseu,hl,1b,25,
1143143,care rost,hl,2a,60,
1143143,eleo mami aust,hl,+,0,
1143143,epil cili cili,hl,+,0,few individuals (r)
1143143,gali palu palu,hl,1a,0,
1143143,junc arti,hl,+,0,
1143143,junc effu,hl,1a,70,
1143143,leer oryz,hl,+,15,
1143143,lyco euro euro,hl,1b,10,
1143143,lysi vulg,hl,+,0,few individuals (r)
1143143,pers hydr,hl,+,0,
1143143,phra aust,hl,1b,50,
1143143,soli giga,hl,+,30,
1143143,bryu arge,ml,+,0,few individuals (r)
1143143,cera purp,ml,+,0,
1143143,ricc flui,ml,1a,0,
1143144,cala epig,hl,+,60,
1143144,care pseu,hl,+,35,
1143144,care rost,hl,2a,60,
1143144,gali palu palu,hl,1b,0,
1143144,leer oryz,hl,1a,25,
1143144,lyth sali,hl,+,0,few individuals (r)
1143144,ment aqua,hl,1a,0,
1143144,myos scor scor,hl,+,0,few individuals (r)
1143144,phra aust,hl,1b,60,
1143144,sali alba,hl,+,0,few individuals (r)
1143144,bryu arge,ml,+,0,
1143144,call cusp,ml,1a,0,
1143144,cera purp,ml,+,0,few individuals (r)
1143144,ricc flui,ml,+,0,
1144143,alis plan,hl,+,0,few individuals (r)
1144143,bide cern,hl,+,0,
1144143,care oede,hl,+,0,
1144143,care pseu,hl,1a,30,
1144143,care rost,hl,2b,70,
1144143,eleo mami aust,hl,+,0,
1144143,gali palu palu,hl,2a,0,
1144143,junc arti,hl,1a,0,
1144143,junc effu,hl,2a,80,
1144143,leer oryz,hl,1a,20,
1144143,lyco euro euro,hl,1a,30,
1144143,ment aqua,hl,1a,0,
1144143,pers hydr,hl,1a,0,
1144143,phra aust,hl,1b,80,
1144143,pote norv,hl,+,10,
1144143,scut gale,hl,+,0,few individuals (r)
1144143,soli giga,hl,+,10,few individuals (r)
1144143,call cusp,ml,+,0,
1144143,cera purp,ml,+,0,
1144144,agro stol,hl,+,0,few individuals (r)
1144144,cala epig,hl,+,10,few individuals (r)
1144144,care oede,hl,+,0,few individuals (r)
1144144,care pseu,hl,+,25,
1144144,care rost,hl,+,50,few individuals (r)
1144144,erig cana,hl,+,0,few individuals (r)
1144144,gali palu palu,hl,1b,0,
1144144,junc arti,hl,1a,0,
1144144,lyco euro euro,hl,1b,20,
1144144,phra aust,hl,1b,60,
1144144,rori palu,hl,+,0,few individuals (r)
1144144,sagi proc,hl,+,0,few individuals (r)
1144144,soli giga,hl,+,40,
1144144,bryu arge,ml,+,0,few individuals (r)
1144144,call cusp,ml,+,0,
