BEGIN HEADER

RELEVE NO.          | 5 . 5 5 5 2 5 . 5 5 . 5 5 2 . 9 | 5 5 5 5 5 5 5 5 5 5 5 5 | . . . | 5 . 5 . | . . | 5 5 5 8 8 5 . 8 7 | 7 5 7 5 9 . . | 9 9 4 7 9 9 9 | 7 7 7 9 9 | . 8 7 7 7 8 7 9 9 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 7 7 7 8 . 7 . . | . 7 9 7 7 9 4
SAMB RACE       @sl | . . + . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . + . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

CHAE NITI       @hl | 2 . 2 . 1 . 2 1 1 . 1 2 1 . . 2 | . . . + . . . + . + . . | . . . | . 2 . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . + | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

RANU LANU       @hl | + + 1 + + 1 + . + + R 1 . . . . | + + + + . . . . + . + . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CICE ALPI       @hl | + + R . + 3 . . . R . . + . . . | 1 + + + + . . + + . + + | . R . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CARD KITA       @hl | 2 . + + 2 2 + 2 1 . . . 2 . . . | + + 1 + . . 2 1 . . + . | . . . | . . . . | . . | . . . 2 . . . . . | . . 3 . . . . | 3 . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ADEN ALLI       @hl | . 2 1 1 . 3 . . 1 . . . 1 . + 1 | 1 1 . 1 . . + 1 + + . . | . . . | . . . . | . + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SILE DIOE       @hl | . . + . + . . . + . + + . + . . | + + R . . + . . . + + . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

SENE FUCH       @hl | + + 1 1 R R 2 . R + + 1 + + R + | 1 2 + + + + + 1 + + + + | + 2 + | . . . . | + . | . . R R . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
EPIL MONT       @hl | + 1 + + . R + . + + + . + . . . | R + . + . . . . + + . + | . R + | + . . . | . . | . + . . . . . . . | 1 . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | + . . . . . .
CREP PALU       @hl | . . + . . . + . . + . 1 . . R . | + + . + R + . R . + . . | + + + | . . + . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

CAMP LATI       @hl | R . 2 1 . . . . 1 . . . 1 . . . | 2 2 1 1 + . + 2 + . 1 1 | . . . | . + + . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
LILI MART       @hl | . R + + + . + . + + . 1 . . . . | . + + + . . . . . + . . | . . . | . + + . | + . | . . . . . . . . . | . . . . . + . | . . 1 . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
RANU PLAT       @hl | R . . + . . + . . + . . . . . . | + + . + . 1 . . . 1 1 . | . . . | + . + . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

VIOL BIFL       @hl | 1 . + + + 1 + . + + . 2 + . . . | 1 2 . + 1 1 . + + 1 + + | 2 1 + | + . + . | . . | + . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PETA ALBU       @hl | 3 4 2 1 + . . . 3 + + + 1 . . 2 | 3 2 2 2 + 2 1 2 3 3 2 1 | 3 4 4 | 1 . 3 + | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ACON PANI       @hl | 1 . + 1 + . 1 . + + . + + . . . | 2 1 1 + 1 1 + + . 2 . 1 | . R . | 1 + 1 . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PRIM ELAT       @hl | + + 1 + + . + . . + . 1 + + . + | + + + + R 1 + + . 1 + . | R R . | + R + + | . . | + . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . + . . . . . . . . + . + . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CHAE CICU       @hl | 1 + + 2 + + . . + 1 2 . 1 . . . | + + 1 . 1 1 + . 1 2 3 1 | + . . | + . + . | . . | + . . . . . . . . | . . . . . . . | . . + . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
STEL NEMO       @hl | 2 3 2 . 2 1 2 + 2 2 2 2 2 1 + 3 | 1 1 3 + 1 3 2 . + 2 + 2 | . 1 . | 1 R . . | . . | + . . . . . . . . | . . . . . . . | . . . 1 . . 1 | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
POLY VERT       @hl | + . R . . . . . R + . + R R . . | + + + 1 + . + + + . + + | . . + | . . R + | . . | + . + . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + . . . . . . . . . . . + + . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

CIRS OLER       @hl | . + + . . R + . . . + 1 . . . . | + + + . + + R . + + + + | . + + | . . 1 . | 1 + | . . . . . . . . . | . . . . . . . | . . . . . . + | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
HERA SPHO       @hl | + . . + . . . . + . + + + . . . | + + + R . . . + + . R + | + + R | . R 1 + | 1 . | . . R . . . . . . | + . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . + . + . . + . . . . . . | . . . . + . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

LUNA REDI       @hl | 2 . 1 2 2 4 3 2 2 2 . 2 4 5 . 1 | 1 + + . 2 2 2 1 . . . 1 | . . . | . . . . | . . | 1 2 1 4 2 + + . 3 | . . . . . . . | + . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
URTI DIOI       @hl | 1 . 1 2 + 3 1 + + + + 2 1 . + . | . . . . 1 + . . + . R 1 | . . + | + 1 . . | . . | . . . 1 1 . . . 1 | . . . . . . . | . . . . + 2 1 | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CHRY ALTE       @hl | 2 . 1 2 + 1 + . 1 1 . 2 2 . + + | . . + . . + + . . . + . | . . . | . . . . | . . | . . . + 2 . . 1 . | . . . . . . . | . . . . . . + | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
IMPA NOLI       @hl | 2 . 2 2 2 2 2 5 2 2 + 2 2 3 4 + | 1 1 2 1 2 1 2 2 + . 1 1 | . . . | 1 + . . | . . | + . . 1 1 R . . . | + . . . . . . | 1 2 . 1 3 3 2 | . . R . . | . . . . . . . . . | . . . . . . . . . . . . . . . . + | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

POLY LOBA       @hl | . . + . + + 1 . R + . + + + . + | + + + + + + + 1 + 1 + + | . . + | . . + . | . . | + + + 1 + + + . 1 | 1 + 1 + . . . | 1 . . . + + + | + R . 1 + | . . . . . . . . . | . . . . . . . . . . . . + . . . . | . . . + . . . . . . + . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ATHY FILI       @hl | 1 + 1 + + 3 + 1 + 1 + 2 1 . 1 + | 1 . 1 + + + + + 1 + 1 + | 1 R . | . . + . | + + | . . . 1 . . . . . | 2 + + + . . 1 | + 1 . . + . + | 1 1 1 + + | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
FEGA CONI       @ml | + . 2 2 2 R + . 1 1 . + . 1 . . | . + + . + 1 . . . + . . | . . . | . . . . | . . | 1 . . . . + . . . | . . . . . . . | . . . . . . . | + 1 2 . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MNIU UNDU       @hl | 1 . 1 . . 2 2 . + 1 . 2 . + + . | . + . . . . . . . 1 + . | . . . | . . . . | . . | . . . . 3 2 . 1 . | 1 1 . 2 1 . . | . . 2 . 1 . + | 1 2 2 1 + | . . . + 2 1 . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MILI EFFU       @hl | + . + . + . + . + + . 1 + + + . | . . . . . . . . . . . . | . . . | 1 R . . | . . | . . . + + + + . . | + . . . . . . | . + . . . . . | + + + 1 . | . . . . . . . . . | . . . . . . . + . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

VERA ALBU       @hl | + . + + + R . . + . . + + . . . | + + + + . + R + . + + . | + R . | + . + . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | + 1 1 + . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ACON VULP       @hl | + + 1 1 1 . + + + + + + + . 1 1 | 2 2 1 1 + 1 2 2 1 1 1 1 | . . . | + R 1 + | . . | 1 . + . . . + . . | . . . . . . . | . . . . . . 1 | 1 1 2 2 + | . . . . . . . . . | . . . . . . . . . 1 1 . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SAXI ROTU       @hl | 1 + 1 + + 2 1 + + + + 1 1 + . + | + + R R 1 + + . + + R + | + . . | . . + 1 | . . | . + . 1 . + 1 . + | . . . . . . 1 | . . . . . . . | + R . + . | . . . . . . . . . | . . . . . . . . . . + . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

LAMI MONT       @hl | 1 2 2 2 1 3 2 1 2 2 2 2 2 3 1 1 | 2 2 1 2 2 2 2 2 2 2 2 2 | 1 1 1 | 2 2 2 1 | . . | 2 2 2 1 2 2 1 2 2 | 2 2 2 3 . . + | 2 2 + 3 . 2 3 | 2 2 2 2 + | 1 + 1 2 2 2 2 1 1 | . . . 1 1 1 1 . . 1 1 + 1 1 + 1 1 | + 1 . + + . + 1 1 + 1 + + 1 1 + 1 1 1 | . . . . . . . . . . | . . . . . . . . | . . . . . . .
DRYO FILI       @hl | 2 R 1 2 2 1 1 2 2 1 + 2 2 2 1 + | 2 + + + 2 1 1 1 2 + + 2 | . + + | 1 R + . | . . | + + + 1 1 1 1 1 + | 2 + 1 + 1 + 1 | 1 1 + + 1 1 1 | 1 2 1 + + | . . . + . . . . . | . . + . + + + . . . + + + + . + . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . + . . . .
GERA ROBE       @hl | + . + + + + 2 + + 2 1 + + + + 1 | R . + + 1 + + . + R . . | . + + | 1 + . . | . + | 1 2 + 1 1 . . 1 2 | 1 . . R . + . | 1 . + . . 2 + | . . . . . | . . . . . . R . . | + . . + . . . . . . . 1 . . + + . | . . . . . . . . + . + . . . . . . . . | . . . . . . . . . . | . . . . . . + . | . . . . . . .
PARI QUAD       @hl | + . + 1 + 2 + + + . . + + + R + | + + . + 1 + + + 1 1 1 + | R R R | . R + . | . . | . . . + . + . + . | + 1 2 1 2 + + | 1 + + . . + + | + 1 + + + | . . + 1 2 1 1 1 R | . . . + + . . 1 . + . + + 1 + + . | . . . . + . + . . . . . . . . + . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ACTA SPIC       @hl | + + + . + . + + + + . + + + R . | . . + + . . + + + . . + | . R . | + . . + | . . | . + . 1 . . + . + | . + 1 + . + . | . + + . . . 1 | + + + + . | . . . . . . . + . | . . 1 + + . + . + . . + . 1 + + . | . . . . . . . + . . . . . . + . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ARUN SYLV       @hl | . . . + R . . . . . . . . . . + | . . . + . . + . + . . + | R . + | . . + . | . . | . . + . . + . . . | . . . . . . 3 | . 1 + . . . . | 1 1 1 1 + | . . . . . . . R + | + + + . . . . + . . + 2 . . + 3 . | . . . . . . . + . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
AEGO PODA       @hl | . . . . . . . + 1 . 1 . . . + + | . . . . . . R . . . + . | . . . | + 1 1 + | . . | . . . . . . . + 2 | 2 . . . . + + | . 2 + 2 1 + . | 2 3 2 2 2 | + . . . . 1 . 1 1 | . . . + . + . . + 1 1 1 . 1 1 . . | . . . . . . . . . . . . . . + + . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ADOX MOSC       @hl | . . + + 1 . . . 2 + . . . . + + | . . + . . . + . . . R . | . . . | . . . . | . . | . . . + + . . . 2 | . . . . . . . | 1 2 + 1 3 1 1 | 1 + + 2 . | + + . 2 . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

GALI ODOR       @hl | . + + + + . 2 . . + + 2 . 2 . + | . . + + + . + + 1 . . 1 | . 1 + | 2 + + . | . . | 1 + . 1 1 1 + 1 . | 2 2 1 2 . . 1 | + 2 1 . 1 2 1 | 1 1 1 2 1 | 2 1 1 2 1 . + 1 1 | 1 + + + 2 + 1 + 1 + + + 1 + + 1 2 | . . . . . . + . . . 1 . 1 1 2 1 2 1 2 | . . . . + . . . . . | . . . . . . . . | . . . . . . .
PHYT SPIC       @hl | . . 1 + + . . . . + . + + . . . | . . . . + . . . + . . + | . . . | + + 1 . | . . | . . . . . . + + . | 1 1 . + . + 1 | . 1 1 . . 2 . | 1 1 1 2 + | 1 1 1 + 1 1 1 . . | + + . 1 . + 1 1 1 . + 1 1 . 1 . . | . . . . . . . . . + . . . 1 + + . . 1 | . . . . . . . . . . | . 1 . . . . . . | . . . . . + .

MERC PERE       @hl | . . . . . . . . + . . . + + 2 + | 2 2 + 2 . + 3 3 . . 1 . | . . . | 3 2 2 2 | . + | 2 . 3 3 3 2 2 2 2 | 4 2 3 2 . 4 1 | 4 4 1 3 3 2 . | 2 2 2 3 1 | 2 . . 3 3 4 4 2 3 | 1 + 1 2 2 1 2 2 2 3 2 + 3 2 2 2 3 | . 2 2 3 1 1 2 + 2 2 1 1 2 2 1 1 1 3 2 | . . . . + . + 1 . + | 1 1 + + . 1 + . | . . . . . . .

ASPE TAUR       @hl | . . . . . . . . . . . . . . . 1 | . . . . . . . + . . . . | . . . | 1 3 2 + | 2 + | . . . . . . 3 . . | . . . . . + + | . . 1 2 1 3 1 | 1 3 2 2 . | + . 2 2 2 2 + 2 . | + + 2 1 2 2 + 2 2 + . + 2 + 2 2 . | . . . . . + + 2 . 1 . + + . . + 1 2 . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

BRAC SILV       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . + . . | . . . | + . 1 + | 4 3 | . . . . . . . . . | . . . . + + + | . . . . . . . | . . . . . | + . + . + . . . . | + + + + + 2 2 + + + . + + 1 . . . | 2 2 2 . + 1 2 2 2 1 1 + 1 + 1 1 + + 2 | . + + + + 1 2 2 . . | 2 . . 1 1 1 1 + | R . . . . + .
CAMP TRAC       @hl | . . . . . . . . . . R + + . . . | . . . . . . . . . + . . | . . . | . R . R | + + | . . . . . . + . . | + . . . . + + | . . . . . . + | + + + . . | + . . + . . . . + | + + + 1 + + + + + 1 + + + + + . . | + . 1 . + + + + + + + . . + + . 1 + + | + + . . . + . . . 1 | 1 . . + . 2 + + | + . . + . . .

VIOL SILV       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . + + . + | . . . | . . + R | + + | . + . + + . + + + | 2 . . + . + 1 | R 1 + . . . . | 1 1 1 1 + | 1 . + 1 . 2 1 + 1 | 1 + 1 1 1 1 1 1 1 + + + 1 + + + . | + 1 + + + + . 1 1 1 1 . + 1 1 + 1 1 1 | . + + . + 1 . . 1 + | . . . . . . 1 . | . . . . . . +
HEDE HELI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . + + + 3 1 + | 2 1 . 1 1 + 2 | + . . + . . . | + 2 2 + 1 | 1 2 2 2 1 2 + . + | + 2 3 + 2 2 1 1 2 1 1 1 2 1 + . . | 2 3 3 1 3 2 3 2 2 2 3 3 + 2 3 1 1 3 1 | + + + + + + + + + + | 2 . 1 . . 1 1 + | . . . + + 1 1
CARE DIGI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | R . . | . . . + | . . | . . . . . . 1 . . | . . . . 1 . 1 | . . + . . . . | + . 1 + . | . . 1 + + + 1 . . | 1 1 1 1 2 1 1 1 1 + + + 1 1 1 + . | 1 1 1 1 1 2 + 1 1 1 1 1 + 1 1 + + + 1 | . . . . 1 1 + . . + | + . . + 1 . + . | + R . + + 1 +
POLY MULT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . + . . . . . | . + . + + + 1 | . 1 + . . + . | + 1 + 1 + | + 1 1 1 1 1 1 2 1 | . + + + . . . . 1 + 1 . . + 1 + + | + . + . . 1 . . . + . . . + + . + . + | . + . . . . . . . . | . . . R . + . . | . . + 1 . . .

BROM BENE       @hl | . . . . . . . . . . . + . . . . | . . . . . . . . . . . . | . . . | . R . + | + + | . . . . . . . . . | + . . . . . . | . . . . . . . | . . . . . | + . . . . . . . . | + 1 1 + . . + 2 + . . + + . . + . | + . 1 + . . . + . . + . . + . + + + + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PIMP MAJO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | + + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . + . 1 . 1 . + . . . . . . . | + + . + + . + . + . + + . . . . + . . | + + + + + + . . . + | . . . . . . . + | . . . . . . .

FRAG VESC       @hl | . . R . . . . . . . . . . . . . | . . . . . . . . . . . . | + + + | . . + . | + + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . + . . . . . . . | + 2 + + + + + 1 + . . . + . + . . | + + 1 . + + + 1 1 + . . + 1 . . . . . | 1 + + + + + + . + + | 1 + 1 + + 2 1 1 | + . . + . 1 1
SOLI VIRG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | + + + | + . R + | + + | . R . . . . . . . | . . . . . + + | . . . . . . . | . R . . + | . . . . . 1 . . . | 1 1 . 1 + + + + + + . + + + . . . | 1 1 + + + + + + + + + 1 . + + 1 + + + | 1 1 + + + . . . + 1 | + 1 1 . 2 + + . | + 2 1 1 . 1 1
HIER MURO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | 1 . . | . . . + | + + | . . . . . . + . . | . . . . . + 1 | . . . . . . . | . . . . . | . . . . . . . . . | 2 1 + 1 + + + 1 + + 1 + + . 1 + . | + . . . . + . . . . . . . . . . . . . | 1 . + . + . + + + . | 1 + + + . 2 + . | . 1 1 + 1 1 1
GALI SYLV       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . + . . | . . . . . . + | . . . . . . . | . . . . . | . . . . . . . . . | 1 + + . + + + 1 + . . + + + + . . | 1 . . + + . . . . . . + . . + + . . + | + + . . + . . . + . | 1 1 . 1 + . . . | + . + + + 1 1
MELI NUTA       @hl | . . . . . . . . . . . . . . . . | . . . . R . . . . . . . | . + + | + . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | 1 1 + 1 . . 1 . . . . . . . + . . | + + . . 1 + . + . . + . . . . . . . . | + + . . + + . + . + | 1 2 1 1 + 1 + . | . . . . . 1 .

SALV GLUT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . + + | + + | . . . . + . . . . | . . . . . + . | . + . . . + . | . . . . . | . . . . . . . . + | . . . + + + + + . + + . . + . . . | + 1 + + + + + + + . 1 + + + + . + + + | + + + . + + + 1 1 + | + . 1 + . 1 + . | . . . . . . .
HEPA TRIL       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | + + + + . . . . . | . + 1 + . 2 1 . 1 . . . + . . . . | + + + + + 1 + . 1 + 1 + + 1 + + 1 1 + | 1 1 1 + 1 2 1 1 2 1 | 2 2 1 + . 2 + . | . . . . . . .
TAMU COMM       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | + + + . . . . + + | . . . . . + . . . + . . . . . . 1 | 1 + 1 . . + . + + + . + . . + + . . 1 | . . . . . . . . . . | . . . + . + 1 1 | . . . . . . .
CORO EMER       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | 1 3 . . . . . . . . . . . . . . 2 | 2 . + + . 2 + + . 1 . 2 + . . . . . . | 2 . . + + + 1 . + + | 1 1 1 1 2 2 . 1 | . . . . . . .
CARE FLAC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | 1 . . . . + . . . . . . . . . . . | . + . . . + + + . . . 1 + . . . . . . | + 1 . . + . 2 + 2 1 | . . . + . . . . | . . . . . . .
VIOL HIRT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . + . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + . . . . + . . . . . + . . | 1 + 2 . 1 1 . 1 + 1 . . . 1 . + 1 + + | + + + + + + + 1 + + | . . . . . + . + | . . . . . . .

CYCL EURO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . + . . . . . . | + 1 1 . 1 1 1 . . . . . . . . . + | + 1 + + 1 + + . 1 1 . 1 . 1 + . . . + | + + + + + + + + + + | . . . . . . . + | . . . . . . .
EPIP LATI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | R . | . . . . . . . . . | + . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + . + + . . + . . . . . . . . . | . + . . + + + . + + . + . . + . . . . | . + . + . + + . + . | . . . . . . . + | . . . . . . .
VIOL MIRA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . + . . | . . . . . | . . . . . . . . . | . . . 1 . . . . . 1 . . . . . . . | . + 1 1 . . 1 . . . 2 . . . . + + . . | . . + . + . . . . . | . . . . . . . . | . . . . . . .

CARE MONT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . + . . . . . . | . 2 + . . . . . . . . . . . . . . | + + + + 2 + + . . + . . + + . + . . + | 2 2 2 . + 2 + . 2 1 | . 2 3 1 1 . 1 . | . 1 + 1 1 . 2
SATU VULG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . + + | . . . . | + + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . . . + + . . . . . . . . . + . . . | + + . . + . + . + . | + 1 1 . + . . . | + . . + . . .
POLY OFFI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . + + . . . . . . . | . . + . . . + . . + . . . . . + . . . | . + + + + + . + + + | + . + . . . 1 . | . . . . . 1 +
LILI CROC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . + + . . + + . . . + . + . . | + . . . . . . . . + | + . . . . . + . | . . . . . . .
CEPH LONG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . + . . . . . . . . . . | . . + . . + . + . . . + . . + + . . . | + . + . . . . . . + | + . . R . + . . | R . + 1 . . . 

MOLI LITO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + . . . . . . . . . . . . . . . | . + . . 1 2 . . . . . . . . . . . . . | 2 3 + . + 1 1 . 1 1 | . 1 3 2 2 . 2 1 | 2 2 2 1 2 1 2
